component	occ_ttl	selected
51-9071	Jewelers and Precious Stone and Metal Workers	false
51-9081	Dental Laboratory Technicians	false
51-9082	Medical Appliance Technicians	false
51-9083	Ophthalmic Laboratory Technicians	false
51-9111	Packaging and Filling Machine Operators and Tenders	false
51-9123	Painting, Coating, and Decorating Workers	false
51-9124	Coating, Painting, and Spraying Machine Setters, Operators, and Tenders	false
51-9141	Semiconductor Processing Technicians	false
51-9151	Photographic Process Workers and Processing Machine Operators	false
51-9161	Computer Numerically Controlled Tool Operators	false
51-9162	Computer Numerically Controlled Tool Programmers	false
51-9191	Adhesive Bonding Machine Operators and Tenders	false
51-9192	Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders	false
51-9193	Cooling and Freezing Equipment Operators and Tenders	false
51-9194	Etchers and Engravers	false
51-9195	Molders, Shapers, and Casters, Except Metal and Plastic	false
51-9196	Paper Goods Machine Setters, Operators, and Tenders	false
51-9197	Tire Builders	false
51-9198	Helpers--Production Workers	false
53-1041	Aircraft Cargo Handling Supervisors	false
53-1042 | 53-1043 | 53-1044 | 53-1049	First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors	false
53-2021	Air Traffic Controllers	false
53-2022	Airfield Operations Specialists	false
53-3011	Ambulance Drivers and Attendants, Except Emergency Medical Technicians	false
53-3031	Driver/Sales Workers	false
53-3032	Heavy and Tractor-Trailer Truck Drivers	false
53-3033	Light Truck Drivers	false
53-3051 | 53-3053 | 53-3054	Bus Drivers, School; Shuttle Drivers and Chauffeurs; Taxi Drivers	false
53-3052	Bus Drivers, Transit and Intercity	false
53-4011	Locomotive Engineers	false
53-4013	Rail Yard Engineers, Dinkey Operators, and Hostlers	false
53-4022	Railroad Brake, Signal, and Switch Operators and Locomotive Firers	false
53-4031	Railroad Conductors and Yardmasters	false
53-4041	Subway and Streetcar Operators	false
53-5011	Sailors and Marine Oilers	false
53-5021	Captains, Mates, and Pilots of Water Vessels	false
53-5022	Motorboat Operators	false
53-5031	Ship Engineers	false
53-6011	Bridge and Lock Tenders	false
53-6021	Parking Attendants	false
53-6031	Automotive and Watercraft Service Attendants	false
53-6032 | 53-6099	Aircraft Service Attendants	false
53-6041	Traffic Technicians	false
53-6051	Transportation Inspectors	false
53-6061	Passenger Attendants	false
53-7011	Conveyor Operators and Tenders	false
53-7021	Crane and Tower Operators	false
53-7031	Dredge Operators	false
53-7041	Hoist and Winch Operators	false
53-7051	Industrial Truck and Tractor Operators	false
53-7061	Cleaners of Vehicles and Equipment	false
53-7062	Laborers and Freight, Stock, and Material Movers, Hand	false
53-7063	Machine Feeders and Offbearers	false
53-7064	Packers and Packagers, Hand	false
53-7065	Stockers and Order Fillers	false
53-7071	Gas Compressor and Gas Pumping Station Operators	false
53-7072	Pump Operators, Except Wellhead Pumpers	false
53-7073	Wellhead Pumpers	false
53-7081	Refuse and Recyclable Material Collectors	false
53-7121	Tank Car, Truck, and Ship Loaders	false
39-1014	First-Line Supervisors of Personal Service and Entertainment and Recreation Workers, Except Gambling Services	false
