component	lightcast	refined	occ_ttl
21-1011 | 21-1014	10	0	Substance Abuse, Behavioral Disorder, and Mental Health Counselors
21-1021	10	0	Child, Family, and School Social Workers
21-1022	20	0	Healthcare Social Workers
21-1023	10	0	Mental Health and Substance Abuse Social Workers
21-1091	0	0	Health Education Specialists
21-1092	0	0	Probation Officers and Correctional Treatment Specialists
21-1093	10	0	Social and Human Service Assistants
21-1094 | 21-1099	15	0	Community Health Workers
21-2011	0	0	Clergy
21-2021	0	0	Directors, Religious Activities and Education
23-1011	0	0	Lawyers
23-1012	15	15	Judicial Law Clerks
23-1021	35	35	Administrative Law Judges, Adjudicators, and Hearing Officers
23-1022	15	0	Arbitrators, Mediators, and Conciliators
23-1023	10	10	Judges, Magistrate Judges, and Magistrates
23-2011	25	25	Paralegals and Legal Assistants
23-2093	25	0	Title Examiners, Abstractors, and Searchers
25-1194	20	0	Career/Technical Education Teachers, Postsecondary
25-2011	0	0	Preschool Teachers, Except Special Education
25-3011	0	0	Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors
25-3021	0	0	Self-Enrichment Teachers
25-4011	0	0	Archivists
25-4012	15	15	Curators
25-4013	15	15	Museum Technicians and Conservators
25-4022	10	0	Librarians and Media Collections Specialists
25-4031	10	0	Library Technicians
25-9021	0	0	Farm and Home Management Educators
25-9031	0	0	Instructional Coordinators
27-1011	0	0	Art Directors
27-1012	25	0	Craft Artists
27-1013	0	0	Fine Artists, Including Painters, Sculptors, and Illustrators
27-1014	0	0	Special Effects Artists and Animators
27-1021	0	0	Commercial and Industrial Designers
27-1022	0	0	Fashion Designers
27-1023	0	0	Floral Designers
27-1024	0	0	Graphic Designers
27-1025	0	0	Interior Designers
27-1026	0	0	Merchandise Displayers and Window Trimmers
27-1027	20	0	Set and Exhibit Designers
27-2012	0	0	Producers and Directors
27-2032	0	0	Choreographers
27-2041	0	0	Music Directors and Composers
27-3011	0	0	Broadcast Announcers and Radio Disc Jockeys
27-3023	0	0	News Analysts, Reporters, and Journalists
27-3031	0	0	Public Relations Specialists
27-3041	0	0	Editors
27-3042	10	10	Technical Writers
27-3043	0	0	Writers and Authors
27-3091	10	0	Interpreters and Translators
27-3092	60	60	Court Reporters and Simultaneous Captioners
27-4011	0	0	Audio and Video Technicians
27-4012	0	0	Broadcast Technicians
27-4014	0	0	Sound Engineering Technicians
27-4021	0	0	Photographers
27-4031	0	0	Camera Operators, Television, Video, and Film
27-4032	0	0	Film and Video Editors
29-1011	10	0	Chiropractors
29-1021	0	0	Dentists, General
29-1022	0	0	Oral and Maxillofacial Surgeons
29-1023	0	0	Orthodontists
29-1024	0	0	Prosthodontists
29-1031	0	0	Dietitians and Nutritionists
29-1041	10	0	Optometrists
29-1051	15	0	Pharmacists
29-1071	10	0	Physician Assistants
29-1081	0	0	Podiatrists
29-1122	0	0	Occupational Therapists
29-1123	10	0	Physical Therapists
29-1124	10	0	Radiation Therapists
29-1125	10	0	Recreational Therapists
29-1126	10	0	Respiratory Therapists
29-1127	10	0	Speech-Language Pathologists
29-1128 | 29-1129	15	0	Exercise Physiologists
29-1131	30	0	Veterinarians
29-1141 | 29-1151 | 29-1161 | 29-1171	15	0	Registered Nurses
29-1181	0	0	Audiologists
29-1211	0	0	Anesthesiologists
29-1212 | 29-1213 | 29-1214 | 29-1217 | 29-1222 | 29-1224 | 29-1229 | 29-1241	10	0	Cardiologists; Dermatologists; Emergency Medicine Physicians; Neurologists; Ophthalmologists, Except Pediatric; Physicians, Pathologists; Radiologists
29-1215	0	0	Family Medicine Physicians
29-1216	0	0	General Internal Medicine Physicians
29-1218	10	0	Obstetricians and Gynecologists
29-1221	0	0	Pediatricians, General
29-1223	10	0	Psychiatrists
29-1242 | 29-1243 | 29-1249	0	0	Orthopedic Surgeons, Except Pediatric; Pediatric Surgeons
29-1292	10	0	Dental Hygienists
29-2011 | 29-2012	20	0	Clinical Laboratory Technologists and Technicians
29-2031	0	0	Cardiovascular Technologists and Technicians
29-2032	10	10	Diagnostic Medical Sonographers
29-2033	0	0	Nuclear Medicine Technologists
29-2034 | 29-2035	10	10	Radiologic Technologists and Technicians
29-2042 | 29-2043	20	0	Emergency Medical Technicians and Paramedics
29-2051	10	0	Dietetic Technicians
29-2052	25	0	Pharmacy Technicians
29-2053	15	0	Psychiatric Technicians
29-2055	10	0	Surgical Technologists
29-2056	20	10	Veterinary Technologists and Technicians
29-2061	15	0	Licensed Practical and Licensed Vocational Nurses
29-2081	0	0	Opticians, Dispensing
29-2091	40	0	Orthotists and Prosthetists
31-1121 | 31-1122	0	0	Home Health and Personal Care Aides
31-1131 | 31-1132	10	0	Nursing Assistants
31-1133	0	0	Psychiatric Aides
31-2011	0	0	Occupational Therapy Assistants
31-2012	0	0	Occupational Therapy Aides
31-2021	10	0	Physical Therapist Assistants
31-2022	10	0	Physical Therapist Aides
31-9011	0	0	Massage Therapists
31-9091	0	0	Dental Assistants
31-9092	35	0	Medical Assistants
31-9093	0	0	Medical Equipment Preparers
31-9094	20	20	Medical Transcriptionists
31-9095	20	0	Pharmacy Aides
31-9096	15	0	Veterinary Assistants and Laboratory Animal Caretakers
31-9097 | 31-9099	50	0	Phlebotomists
33-1011	0	0	First-Line Supervisors of Correctional Officers
33-1012	0	0	First-Line Supervisors of Police and Detectives
33-1021	15	0	First-Line Supervisors of Firefighting and Prevention Workers
33-1091 | 33-1099	10	0	Miscellaneous First-Line Supervisors, Protective Service Workers
33-2011	10	0	Firefighters
33-2021	15	15	Fire Inspectors and Investigators
33-2022	45	45	Forest Fire Inspectors and Prevention Specialists
33-3011	25	0	Bailiffs
33-3012	0	0	Correctional Officers and Jailers
33-3021	40	40	Detectives and Criminal Investigators
33-3031	15	15	Fish and Game Wardens
33-3041	10	0	Parking Enforcement Workers
33-3051	15	0	Police and Sheriff's Patrol Officers
33-3052	10	0	Transit and Railroad Police
33-9011	0	0	Animal Control Workers
33-9021	20	0	Private Detectives and Investigators
33-9031	30	0	Gambling Surveillance Officers and Gambling Investigators
33-9032	0	0	Security Guards
33-9091	0	0	Crossing Guards and Flaggers
33-9092	0	0	Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers
