component	lightcast	refined	occ_ttl
51-7031	15	0	Model Makers, Wood
51-7032	0	0	Patternmakers, Wood
51-7041	15	0	Sawing Machine Setters, Operators, and Tenders, Wood
51-7042	0	0	Woodworking Machine Setters, Operators, and Tenders, Except Sawing
51-8011	10	0	Nuclear Power Reactor Operators
51-8012	0	0	Power Distributors and Dispatchers
51-8013	30	0	Power Plant Operators
51-8021	0	0	Stationary Engineers and Boiler Operators
51-8031	0	0	Water and Wastewater Treatment Plant and System Operators
51-8091	0	0	Chemical Plant and System Operators
51-8092	20	0	Gas Plant Operators
51-8093	0	0	Petroleum Pump System Operators, Refinery Operators, and Gaugers
51-9011	15	0	Chemical Equipment Operators and Tenders
51-9012	0	0	Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders
51-9021	20	0	Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders
51-9022	0	0	Grinding and Polishing Workers, Hand
51-9023	20	0	Mixing and Blending Machine Setters, Operators, and Tenders
51-9031	0	0	Cutters and Trimmers, Hand
51-9032	10	0	Cutting and Slicing Machine Setters, Operators, and Tenders
51-9041	0	0	Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders
51-9051	0	0	Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders
51-9061	10	0	Inspectors, Testers, Sorters, Samplers, and Weighers
51-9071	0	0	Jewelers and Precious Stone and Metal Workers
51-9081	0	0	Dental Laboratory Technicians
51-9082	0	0	Medical Appliance Technicians
51-9083	45	0	Ophthalmic Laboratory Technicians
51-9111	0	0	Packaging and Filling Machine Operators and Tenders
51-9123	0	0	Painting, Coating, and Decorating Workers
51-9124	0	0	Coating, Painting, and Spraying Machine Setters, Operators, and Tenders
51-9141	10	0	Semiconductor Processing Technicians
51-9151	15	0	Photographic Process Workers and Processing Machine Operators
51-9161	0	0	Computer Numerically Controlled Tool Operators
51-9162	0	0	Computer Numerically Controlled Tool Programmers
51-9191	15	0	Adhesive Bonding Machine Operators and Tenders
51-9192	0	0	Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders
51-9193	0	0	Cooling and Freezing Equipment Operators and Tenders
51-9194	0	0	Etchers and Engravers
51-9195	0	0	Molders, Shapers, and Casters, Except Metal and Plastic
51-9196	0	0	Paper Goods Machine Setters, Operators, and Tenders
51-9197	0	0	Tire Builders
51-9198	0	0	Helpers--Production Workers
53-1041	0	0	Aircraft Cargo Handling Supervisors
53-1042 | 53-1043 | 53-1044 | 53-1049	0	0	First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors
53-2021	0	0	Air Traffic Controllers
53-2022	15	15	Airfield Operations Specialists
53-3011	0	0	Ambulance Drivers and Attendants, Except Emergency Medical Technicians
53-3031	0	0	Driver/Sales Workers
53-3032	0	0	Heavy and Tractor-Trailer Truck Drivers
53-3033	0	0	Light Truck Drivers
53-3052	0	0	Bus Drivers, Transit and Intercity
53-4011	0	0	Locomotive Engineers
53-4013	0	0	Rail Yard Engineers, Dinkey Operators, and Hostlers
53-4022	0	0	Railroad Brake, Signal, and Switch Operators and Locomotive Firers
53-4031	0	0	Railroad Conductors and Yardmasters
53-4041	0	0	Subway and Streetcar Operators
53-5011	15	0	Sailors and Marine Oilers
53-5021	0	0	Captains, Mates, and Pilots of Water Vessels
53-5022	0	0	Motorboat Operators
53-5031	0	0	Ship Engineers
53-6011	25	0	Bridge and Lock Tenders
53-6021	0	0	Parking Attendants
53-6031	0	0	Automotive and Watercraft Service Attendants
53-6032 | 53-6099	0	0	Aircraft Service Attendants
53-6041	25	25	Traffic Technicians
53-6051	10	0	Transportation Inspectors
53-6061	0	0	Passenger Attendants
53-7011	0	0	Conveyor Operators and Tenders
53-7021	0	0	Crane and Tower Operators
53-7031	0	0	Dredge Operators
53-7041	0	0	Hoist and Winch Operators
53-7051	0	0	Industrial Truck and Tractor Operators
53-7061	0	0	Cleaners of Vehicles and Equipment
53-7062	0	0	Laborers and Freight, Stock, and Material Movers, Hand
53-7063	0	0	Machine Feeders and Offbearers
53-7064	0	0	Packers and Packagers, Hand
53-7065	0	0	Stockers and Order Fillers
53-7071	0	0	Gas Compressor and Gas Pumping Station Operators
53-7072	15	0	Pump Operators, Except Wellhead Pumpers
53-7073	0	0	Wellhead Pumpers
53-7081	15	0	Refuse and Recyclable Material Collectors
53-7121	0	0	Tank Car, Truck, and Ship Loaders
