account	year	value
524	2001	156387
524	2002	159903
524	2003	167148
524	2004	179276
524	2005	187749
524	2006	200081
524	2007	206269
524	2008	209588
524	2009	201071
524	2010	206775
524	2011	217999
524	2012	229430
524	2013	233972
524	2014	247896
524	2015	267225
524	2016	272523
524	2017	286220
524	2018	299473
524	2019	311649
524	2020	328846
524	2021	338013
524	2022	360364
524	2023	384568
525	1988	321
525	1989	335
525	1990	372
525	1991	406
525	1992	452
525	1993	512
525	1994	591
525	1995	629
525	1996	756
525	1997	846
525	1998	944
525	1999	1006
525	2000	1093
525	2001	1174
525	2002	1187
525	2003	1284
525	2004	1534
525	2005	1687
525	2006	1800
525	2007	667
525	2008	664
525	2009	632
525	2010	557
525	2011	616
525	2012	517
525	2013	584
525	2014	864
525	2015	1121
525	2016	1609
525	2017	2060
525	2018	46
525	2019	85
525	2020	51
525	2021	3990
525	2022	5340
525	2023	6145
531	1988	33560
531	1989	37239
531	1990	38158
531	1991	37532
531	1992	37754
531	1993	37439
531	1994	38056
531	1995	38499
531	1996	38656
531	1997	40000
531	1998	43526
531	1999	47739
531	2000	51484
531	2001	51439
531	2002	57535
531	2003	62928
531	2004	71414
531	2005	75047
531	2006	82240
531	2007	82415
531	2008	77889
531	2009	73627
531	2010	73716
531	2011	74886
531	2012	81634
531	2013	85733
531	2014	88916
531	2015	99167
531	2016	104228
531	2017	110478
531	2018	121111
531	2019	125310
531	2020	131792
531	2021	156407
531	2022	171129
531	2023	164885
532RL	1988	11192
532RL	1989	12555
532RL	1990	13503
532RL	1991	14800
532RL	1992	14258
532RL	1993	14502
532RL	1994	15838
532RL	1995	16977
532RL	1996	18730
532RL	1997	20217
532RL	1998	22073
532RL	1999	23654
532RL	2000	25446
532RL	2001	26090
532RL	2002	26315
532RL	2003	25807
532RL	2004	27179
532RL	2005	28437
532RL	2006	30198
532RL	2007	31464
532RL	2008	31176
532RL	2009	28592
532RL	2010	28570
532RL	2011	28985
532RL	2012	31217
532RL	2013	32051
532RL	2014	33559
532RL	2015	34999
532RL	2016	35022
532RL	2017	37013
532RL	2018	39531
532RL	2019	41741
532RL	2020	35857
532RL	2021	39188
532RL	2022	47452
532RL	2023	50980
5411	1988	62501
5411	1989	71715
5411	1990	76656
5411	1991	80580
5411	1992	88777
5411	1993	92963
5411	1994	100199
5411	1995	99982
5411	1996	97573
5411	1997	97111
5411	1998	102510
5411	1999	102116
5411	2000	108080
5411	2001	116696
5411	2002	115853
5411	2003	124107
5411	2004	126562
5411	2005	133503
5411	2006	141605
5411	2007	142352
5411	2008	149758
5411	2009	143185
5411	2010	138397
5411	2011	144587
5411	2012	146475
5411	2013	150224
5411	2014	150114
5411	2015	150834
5411	2016	157082
5411	2017	160943
5411	2018	171691
5411	2019	172472
5411	2020	168234
5411	2021	185850
5411	2022	191451
5411	2023	201511
5412OP	1988	127424
5412OP	1989	148415
5412OP	1990	164304
5412OP	1991	181224
5412OP	1992	186500
5412OP	1993	200614
5412OP	1994	211268
5412OP	1995	218100
5412OP	1996	235670
5412OP	1997	258271
5412OP	1998	280955
5412OP	1999	297955
5412OP	2000	334631
5412OP	2001	344587
5412OP	2002	341075
5412OP	2003	348614
5412OP	2004	374500
5412OP	2005	408114
5412OP	2006	445118
5412OP	2007	477551
5412OP	2008	500474
5412OP	2009	477449
5412OP	2010	484167
5412OP	2011	514167
5412OP	2012	546940
5412OP	2013	562279
5412OP	2014	589323
5412OP	2015	631941
5412OP	2016	645914
5412OP	2017	676158
5412OP	2018	726222
5412OP	2019	774941
5412OP	2020	773657
5412OP	2021	858554
5412OP	2022	960048
5412OP	2023	1014505
5415	1988	25807
5415	1989	29172
5415	1990	33036
5415	1991	36878
5415	1992	39561
5415	1993	45641
5415	1994	48601
5415	1995	54033
5415	1996	60008
5415	1997	73830
5415	1998	83166
5415	1999	95933
5415	2000	105999
5415	2001	110351
5415	2002	102809
5415	2003	109296
5415	2004	117261
5415	2005	128767
5415	2006	141757
5415	2007	154058
5415	2008	163541
5415	2009	161083
5415	2010	169884
5415	2011	184728
5415	2012	206475
5415	2013	211570
5415	2014	226559
5415	2015	247938
5415	2016	263154
5415	2017	282648
5415	2018	303731
5415	2019	328550
5415	2020	341789
5415	2021	394634
5415	2022	418746
5415	2023	439273
55	1988	64484
55	1989	69039
55	1990	73032
55	1991	77867
55	1992	82743
55	1993	88360
55	1994	92236
55	1995	97025
55	1996	100036
55	1997	105913
55	1998	118526
55	1999	126275
55	2000	147585
55	2001	150293
55	2002	150453
55	2003	159726
55	2004	175600
55	2005	185332
55	2006	200744
55	2007	219915
55	2008	221118
55	2009	207948
55	2010	227176
55	2011	237912
55	2012	259416
55	2013	274980
55	2014	287434
55	2015	302344
55	2016	304599
55	2017	324519
55	2018	341754
55	2019	357414
55	2020	355825
55	2021	391546
55	2022	427322
55	2023	444190
561	1988	74052
561	1989	82535
561	1990	92081
561	1991	103760
561	1992	105337
561	1993	116590
561	1994	123359
561	1995	133510
561	1996	149948
561	1997	169397
561	1998	187885
561	1999	201580
561	2000	229253
561	2001	235895
561	2002	237203
561	2003	243600
561	2004	263368
561	2005	283749
561	2006	301472
561	2007	322165
561	2008	326007
561	2009	300615
561	2010	312321
561	2011	331206
561	2012	352679
561	2013	363173
561	2014	385373
561	2015	407156
561	2016	420714
561	2017	452229
561	2018	473602
561	2019	494112
561	2020	479862
561	2021	545271
561	2022	619378
561	2023	635406
562	1988	7524
562	1989	8538
562	1990	9265
562	1991	10092
562	1992	10026
562	1993	11210
562	1994	11839
562	1995	12561
562	1996	13112
562	1997	13375
562	1998	14071
562	1999	14747
562	2000	15318
562	2001	16112
562	2002	16848
562	2003	17537
562	2004	18398
562	2005	19697
562	2006	20979
562	2007	21777
562	2008	22702
562	2009	22117
562	2010	28995
562	2011	24543
562	2012	25437
562	2013	25988
562	2014	27647
562	2015	27552
562	2016	29156
562	2017	31798
562	2018	33622
562	2019	35238
562	2020	35992
562	2021	38983
562	2022	42049
562	2023	46536
61	1988	30847
61	1989	32778
61	1990	35641
61	1991	38237
61	1992	41287
61	1993	45406
61	1994	49122
61	1995	53375
61	1996	57672
61	1997	62531
61	1998	67917
61	1999	73332
61	2000	78405
61	2001	84234
61	2002	93821
61	2003	99149
61	2004	107494
61	2005	111765
61	2006	119125
61	2007	127278
61	2008	136373
61	2009	147407
61	2010	153612
61	2011	161300
61	2012	169401
61	2013	174399
61	2014	183636
61	2015	189165
61	2016	199697
61	2017	201434
61	2018	212579
61	2019	225890
61	2020	222680
61	2021	234124
61	2022	249766
61	2023	263775
621	1988	122028
621	1989	136494
621	1990	152332
621	1991	166769
621	1992	185199
621	1993	202674
621	1994	217109
621	1995	225048
621	1996	234662
621	1997	238957
621	1998	242963
621	1999	253822
621	2000	263434
621	2001	280549
621	2002	299785
621	2003	322818
621	2004	337905
621	2005	351023
621	2006	379055
621	2007	396949
621	2008	412417
621	2009	428681
621	2010	449672
621	2011	463828
621	2012	484489
621	2013	501439
621	2014	516777
621	2015	544842
621	2016	569060
621	2017	596774
621	2018	633870
621	2019	658383
621	2020	627774
621	2021	693123
621	2022	762483
621	2023	816722
622	1988	73744
622	1989	79883
622	1990	88706
622	1991	100269
622	1992	110859
622	1993	118983
622	1994	127638
622	1995	131808
622	1996	135357
622	1997	142507
622	1998	150135
622	1999	158674
622	2000	166170
622	2001	179015
622	2002	193841
622	2003	209788
622	2004	225409
622	2005	238494
622	2006	255812
622	2007	269825
622	2008	288403
622	2009	304416
622	2010	305896
622	2011	319764
622	2012	331596
622	2013	339207
622	2014	347053
622	2015	368736
622	2016	382467
622	2017	398102
622	2018	414868
622	2019	429959
622	2020	437745
622	2021	455682
622	2022	493368
622	2023	528092
623	1988	27933
623	1989	30258
623	1990	33599
623	1991	37980
623	1992	41990
623	1993	45068
623	1994	48346
623	1995	49925
623	1996	51271
623	1997	53978
623	1998	56891
623	1999	60827
623	2000	65173
623	2001	69477
623	2002	75135
623	2003	79245
623	2004	83442
623	2005	86030
623	2006	90972
623	2007	95538
623	2008	101724
623	2009	105661
623	2010	109949
623	2011	111802
623	2012	113677
623	2013	116401
623	2014	119570
623	2015	124272
623	2016	129188
623	2017	132147
623	2018	138382
623	2019	142761
623	2020	154108
623	2021	149702
623	2022	162505
623	2023	176789
624	1988	17010
624	1989	19036
624	1990	20852
624	1991	23967
624	1992	25641
624	1993	29427
624	1994	31528
624	1995	34056
624	1996	36286
624	1997	37411
624	1998	40785
624	1999	45411
624	2000	49818
624	2001	52686
624	2002	56326
624	2003	61499
624	2004	64010
624	2005	68473
624	2006	72678
624	2007	76266
624	2008	84618
624	2009	87110
624	2010	84197
624	2011	83095
624	2012	90275
624	2013	95971
624	2014	100513
624	2015	106753
624	2016	114225
624	2017	120496
624	2018	128015
624	2019	145207
624	2020	145335
624	2021	148645
624	2022	173465
624	2023	191815
711AS	1988	15811
711AS	1989	16861
711AS	1990	18959
711AS	1991	22872
711AS	1992	23688
711AS	1993	27349
711AS	1994	28053
711AS	1995	29216
711AS	1996	30882
711AS	1997	33447
711AS	1998	36359
711AS	1999	39769
711AS	2000	44301
711AS	2001	47219
711AS	2002	51707
711AS	2003	56901
711AS	2004	60610
711AS	2005	60779
711AS	2006	65888
711AS	2007	68290
711AS	2008	72794
711AS	2009	69256
711AS	2010	68552
711AS	2011	71360
711AS	2012	75022
711AS	2013	80193
711AS	2014	82331
711AS	2015	87877
711AS	2016	93096
711AS	2017	95614
711AS	2018	104125
711AS	2019	104280
711AS	2020	81777
711AS	2021	89148
711AS	2022	124687
711AS	2023	134877
713	1988	11024
713	1989	12169
713	1990	13974
713	1991	15312
713	1992	15972
713	1993	17955
713	1994	19152
713	1995	19887
713	1996	21384
713	1997	23236
713	1998	25931
713	1999	27910
713	2000	30721
713	2001	32195
713	2002	34029
713	2003	35822
713	2004	36584
713	2005	37717
713	2006	38931
713	2007	41142
713	2008	43075
713	2009	41202
713	2010	41916
713	2011	42915
713	2012	45784
713	2013	47785
713	2014	51870
713	2015	53334
713	2016	57931
713	2017	59980
713	2018	62491
713	2019	65430
713	2020	49182
713	2021	60308
713	2022	75083
713	2023	84383
721	1988	24305
721	1989	27498
721	1990	29777
721	1991	31793
721	1992	32743
721	1993	33388
721	1994	34837
721	1995	35857
721	1996	37172
721	1997	39312
721	1998	43344
721	1999	48331
721	2000	52648
721	2001	53145
721	2002	51580
721	2003	52569
721	2004	56280
721	2005	59391
721	2006	60969
721	2007	64645
721	2008	66964
721	2009	61030
721	2010	62020
721	2011	65545
721	2012	68525
721	2013	70970
721	2014	75163
721	2015	78994
721	2016	80678
721	2017	83850
721	2018	87588
721	2019	92424
721	2020	62511
721	2021	74474
721	2022	94068
721	2023	103420
722	1988	67166
722	1989	75804
722	1990	79810
722	1991	85075
722	1992	88058
722	1993	89866
722	1994	93972
722	1995	97960
722	1996	100361
722	1997	105502
722	1998	116106
722	1999	126618
722	2000	133295
722	2001	140405
722	2002	146181
722	2003	155224
722	2004	165957
722	2005	172781
722	2006	183364
722	2007	194140
722	2008	196432
722	2009	191306
722	2010	195710
722	2011	207176
722	2012	225097
722	2013	234609
722	2014	250173
722	2015	273970
722	2016	290986
722	2017	308286
722	2018	324767
722	2019	342479
722	2020	251499
722	2021	307626
722	2022	414531
722	2023	452427
81	1988	98362
81	1989	109179
81	1990	116605
81	1991	125218
81	1992	127853
81	1993	136345
81	1994	144854
81	1995	150543
81	1996	159972
81	1997	170483
81	1998	182819
81	1999	188306
81	2000	200877
81	2001	206307
81	2002	221905
81	2003	231247
81	2004	241208
81	2005	246022
81	2006	257990
81	2007	269595
81	2008	278363
81	2009	273856
81	2010	271242
81	2011	275000
81	2012	290671
81	2013	300266
81	2014	314868
81	2015	329027
81	2016	337304
81	2017	351126
81	2018	373907
81	2019	387252
81	2020	360243
81	2021	382417
81	2022	454514
81	2023	476608
GFE	1988	30620
GFE	1989	33197
GFE	1990	34693
GFE	1991	38381
GFE	1992	39407
GFE	1993	42160
GFE	1994	41582
GFE	1995	44212
GFE	1996	46058
GFE	1997	47316
GFE	1998	48564
GFE	1999	49929
GFE	2000	53858
GFE	2001	53687
GFE	2002	54332
GFE	2003	54197
GFE	2004	58026
GFE	2005	58651
GFE	2006	60268
GFE	2007	60928
GFE	2008	60054
GFE	2009	57753
GFE	2010	56635
GFE	2011	56570
GFE	2012	56097
GFE	2013	55337
GFE	2014	55788
GFE	2015	59107
GFE	2016	58609
GFE	2017	59219
GFE	2018	61203
GFE	2019	61169
GFE	2020	63369
GFE	2021	65809
GFE	2022	68485
GFE	2023	70216
GFGD	1988	94721
GFGD	1989	100220
GFGD	1990	104263
GFGD	1991	108985
GFGD	1992	115445
GFGD	1993	117400
GFGD	1994	116136
GFGD	1995	114500
GFGD	1996	112151
GFGD	1997	111415
GFGD	1998	110772
GFGD	1999	112658
GFGD	2000	116935
GFGD	2001	123206
GFGD	2002	139340
GFGD	2003	160791
GFGD	2004	172202
GFGD	2005	185992
GFGD	2006	192983
GFGD	2007	201511
GFGD	2008	214321
GFGD	2009	229241
GFGD	2010	244005
GFGD	2011	250807
GFGD	2012	248004
GFGD	2013	239563
GFGD	2014	239144
GFGD	2015	238665
GFGD	2016	242161
GFGD	2017	246098
GFGD	2018	257425
GFGD	2019	266807
GFGD	2020	280451
GFGD	2021	293879
GFGD	2022	301354
GFGD	2023	318540
GFGN	1988	61247
GFGN	1989	64804
GFGN	1990	67418
GFGN	1991	70470
GFGN	1992	74647
GFGN	1993	75913
GFGN	1994	75094
GFGN	1995	74037
GFGN	1996	72518
GFGN	1997	72042
GFGN	1998	75075
GFGN	1999	79026
GFGN	2000	85512
GFGN	2001	87977
GFGN	2002	96991
GFGN	2003	106918
GFGN	2004	112066
GFGN	2005	117476
GFGN	2006	121538
GFGN	2007	127556
GFGN	2008	135234
GFGN	2009	146592
GFGN	2010	158788
GFGN	2011	160808
GFGN	2012	161051
GFGN	2013	160242
GFGN	2014	165022
GFGN	2015	171258
GFGN	2016	178953
GFGN	2017	184220
GFGN	2018	191007
GFGN	2019	195632
GFGN	2020	206637
GFGN	2021	214253
GFGN	2022	224248
GFGN	2023	246176
GSLE	1988	27445
GSLE	1989	29640
GSLE	1990	32197
GSLE	1991	34959
GSLE	1992	37319
GSLE	1993	39841
GSLE	1994	41692
GSLE	1995	43269
GSLE	1996	44296
GSLE	1997	45449
GSLE	1998	48070
GSLE	1999	51126
GSLE	2000	54595
GSLE	2001	61795
GSLE	2002	65571
GSLE	2003	68875
GSLE	2004	73166
GSLE	2005	76334
GSLE	2006	79544
GSLE	2007	83853
GSLE	2008	87688
GSLE	2009	89371
GSLE	2010	91141
GSLE	2011	91910
GSLE	2012	91526
GSLE	2013	95452
GSLE	2014	98543
GSLE	2015	102019
GSLE	2016	104374
GSLE	2017	107032
GSLE	2018	112046
GSLE	2019	115297
GSLE	2020	115923
GSLE	2021	118380
GSLE	2022	123137
GSLE	2023	131931
GSLG	1988	341695
GSLG	1989	369391
GSLG	1990	404845
GSLG	1991	444657
GSLG	1992	476583
GSLG	1993	513575
GSLG	1994	538395
GSLG	1995	565763
GSLG	1996	590896
GSLG	1997	613506
GSLG	1998	646300
GSLG	1999	688090
GSLG	2000	732479
GSLG	2001	785385
GSLG	2002	829143
GSLG	2003	864905
GSLG	2004	907549
GSLG	2005	944908
GSLG	2006	989842
GSLG	2007	1045752
GSLG	2008	1095890
GSLG	2009	1117908
GSLG	2010	1141113
GSLG	2011	1141931
GSLG	2012	1147128
GSLG	2013	1197763
GSLG	2014	1232456
GSLG	2015	1275273
GSLG	2016	1303303
GSLG	2017	1338917
GSLG	2018	1393197
GSLG	2019	1433271
GSLG	2020	1475220
GSLG	2021	1515137
GSLG	2022	1555670
GSLG	2023	1642086
