component	lightcast
49-9081 | 49-9099	0.06968314340793891
49-9091	0.006612784717119765
49-9092	0.045064377682403435
49-9094	0.10071202531645569
49-9095	0.12884243128145567
49-9096	0.0
49-9097	0.044921875
49-9098	0.019482229047827995
51-1011	0.05767803361507821
51-2011	0.07090654641579848
51-2021	0.004629629629629629
51-2022 | 51-2023	0.04918578830495929
51-2031	0.03156708004509583
51-2041	0.006329113924050633
51-2051	0.003599801390268123
51-2061	0.11307420494699646
51-2092 | 51-2099	0.3008204751408278
51-3011	0.03981890149922937
51-3021	0.04712873192676883
51-3022	0.01519422481952561
51-3023	0.32043674341324474
51-3091	0.21617879746835442
51-3092	0.02267998335414066
51-3093	0.21436004162330904
51-4021	0.047080979284369114
51-4022	0.13214990138067062
51-4023	0.0661345496009122
51-4031	0.03651624155221277
51-4032	0.07961165048543689
51-4033	0.09249786871270248
51-4034	0.013682230203523174
51-4035	0.045283018867924525
51-4041	0.023183035585719634
51-4051	0.15995762711864406
51-4052	0.013636363636363636
51-4061	0.0440251572327044
51-4062	0.014084507042253521
51-4071	0.040345821325648415
51-4072	0.02553852986897624
51-4081	0.04352365565174979
51-4111	0.025776173285198555
51-4121	0.01236588687901742
51-4122	0.05545957152729786
51-4191	0.010419414402532313
51-4192	0.06734006734006734
51-4193	0.030204962243797196
51-4194	0.014787430683918669
51-5111	0.1492632927610506
51-5112	0.04069565217391304
51-5113	0.09993694829760404
51-6011	0.004971600968824804
51-6021	0.020242914979757085
51-6031	0.013968775677896467
51-6041	0.0010052934985784522
51-6042	0.016615960683360638
51-6051	0.0005304336294921098
51-6052	0.028642709782660845
51-6061	0.15757000474608449
51-6062	0.1475826972010178
51-6063	0.19293478260869565
51-6064	0.07005253940455342
51-6091	0.04321561338289963
51-6092	0.0014975513012506576
51-6093	0.0536714833382483
51-7011	0.053763440860215055
51-7021	0.04457687723480334
51-7031	0.19230769230769232
51-7041	0.14855875831485588
51-7042	0.036592821169689385
51-8011	0.13883299798792756
51-8012	0.0
51-8013	0.3182775032033681
51-8021	0.028368794326241134
51-8031	0.018553918812549197
51-8091	0.0038314176245210726
51-8092	0.21173469387755103
51-8093	0.03701348257440855
51-9011	0.15736040609137056
51-9012	0.05518447837150127
51-9021	0.20432432432432432
51-9022	0.020642201834862386
51-9023	0.22897897897897898
51-9031	0.06209850107066381
51-9032	0.11165048543689321
51-9041	0.06996587030716724
51-9051	0.08482758620689655
51-9061	0.14339775099319912
51-9071	0.03094201237680495
51-9081	0.027597061909758656
51-9082	0.08573008849557522
51-9083	0.45569620253164556
51-9111	0.03125774012978649
51-9123	0.008131550415612577
51-9124	0.01773018520143948
51-9141	0.11483739837398374
51-9151	0.16883910386965376
51-9161	0.022788047901406813
51-9162	0.026615969581749048
51-9191	0.17002012072434608
51-9192	0.0027923601027588516
51-9193	0.03811944091486658
51-9194	0.0070901033973412115
51-9195	0.007958274544618654
51-9196	0.06456571867794005
51-9197	0.005076142131979695
51-9198	0.036599591717701954
53-1041	0.013176470588235295
53-1042 | 53-1043 | 53-1044 | 53-1049	0.07668077900084674
53-2011	0.0007209805335255948
53-2012	0.015016354445435623
53-2021	0.06442788416187152
53-2022	0.18110178104046373
53-2031	0.06879756468797564
53-3011	0.09400876765708718
53-3031	0.036240981843619166
53-3032	0.00986929712294615
53-3033	0.01969687831189309
53-3051 | 53-3054	0.00876672540667865
53-3052	0.049723756906077346
53-4011	0.0084985835694051
53-4013	0.0484448114505918
53-4022	0.0
53-4031	0.06838365896980461
53-4041	0.06826568265682657
53-5011	0.17288135593220338
53-5021	0.010712160285657607
53-5022	0.012307692307692308
53-5031	0.03967168262653899
53-6011	0.2878278412911903
53-6021	0.01420066152149945
53-6031	0.037990592121799706
53-6032 | 53-6099	0.010484927916120577
53-6041	0.27923113734247884
53-6051	0.10078977059044754
53-6061	0.014308426073131956
53-7011	0.05998681608437706
53-7021	0.012064463851625101
53-7031	0.0
53-7041	0.02478134110787172
53-7051	0.045968034364452875
53-7061	0.006643094396228437
53-7062	0.0885003634160022
53-7063	0.07952622673434856
53-7064	0.06597997848928601
53-7065	0.036657624646910546
53-7071	0.05810575246949448
53-7072	0.16688227684346701
53-7081	0.1804245283018868
53-7121	0.019994596055120238
