component	probable
47-2121	false
47-2131	false
47-2132	false
47-2141	false
47-2142	false
47-2151	false
47-2152	false
47-2161	false
47-2171	false
47-2181	false
47-2211	false
47-2221	false
47-3011	false
47-3012	false
47-3013	false
47-3014	false
47-3015	false
47-3016	false
47-4011	true
47-4021	false
47-4031	false
47-4041	false
47-4051	false
47-4061	false
47-4071	false
47-5011	false
47-5012	false
47-5013	false
47-5022	false
47-5041	false
47-5043	false
47-5044	false
47-5051	false
47-5071	false
47-5081	false
49-1011	false
49-2011	false
49-2021	false
49-2022	false
49-2091	false
49-2092	false
49-2093	false
49-2094	false
49-2095	false
49-2096	false
49-2097	false
49-2098	false
49-3011	false
49-3021	false
49-3022	false
49-3023	false
49-3031	false
49-3041	false
49-3042	false
49-3043	false
49-3051	false
49-3052	false
49-3053	false
49-3091	false
49-3092	false
49-3093	false
49-9011	false
49-9012	false
49-9021	false
49-9031	false
49-9041	false
49-9043	false
49-9044	false
49-9045	false
49-9051	false
49-9052	false
49-9061	false
49-9062	false
49-9063	false
49-9064	false
49-9071	false
49-9091	false
49-9092	false
49-9094	false
49-9095	false
49-9096	false
49-9097	false
49-9098	false
51-1011	false
51-2011	false
51-2021	false
51-2031	false
51-2041	false
51-2051	false
51-2061	false
51-3011	false
51-3021	false
51-3022	false
51-3023	false
51-3091	false
51-3092	false
51-3093	false
51-4021	false
51-4022	false
51-4023	false
51-4031	false
51-4032	false
51-4033	false
51-4034	false
51-4035	false
51-4041	false
51-4051	false
51-4052	false
51-4061	false
51-4062	false
51-4071	false
51-4072	false
51-4081	false
51-4111	false
51-4121	false
51-4122	false
51-4191	false
51-4192	false
51-4193	false
51-4194	false
51-5111	false
51-5112	false
51-5113	false
51-6011	false
51-6021	false
51-6031	false
51-6041	false
51-6042	false
51-6051	false
51-6052	false
51-6061	false
51-6062	false
51-6063	false
51-6064	false
51-6091	false
51-6092	false
51-6093	false
51-7011	false
51-7021	false
51-7031	false
51-7032	false
51-7041	false
51-7042	false
51-8011	false
51-8012	false
51-8013	false
51-8021	false
51-8031	false
51-8091	false
51-8092	false
51-8093	false
51-9011	false
51-9012	false
51-9021	false
51-9022	false
51-9023	false
51-9031	false
51-9032	false
51-9041	false
51-9051	false
51-9061	false
51-9071	false
51-9081	false
51-9082	false
51-9083	false
51-9111	false
51-9123	false
51-9124	false
51-9141	false
51-9151	false
51-9161	false
