occ_code	naics	own	tot_emp	h_mean	occ_title	year
00-0000	1130		48780	21.13	Industry Total	2018
00-0000	1133		48780	21.13	Industry Total	2018
00-0000	1150		378310	14.81	Industry Total	2018
00-0000	1151		347630	14.47	Industry Total	2018
00-0000	1152		30680	18.71	Industry Total	2018
00-0000	2110		141290	43.93	Industry Total	2018
00-0000	2111		141290	43.93	Industry Total	2018
00-0000	2120		189910	26.63	Industry Total	2018
00-0000	2121		50750	29.2	Industry Total	2018
00-0000	2122		40100	29.88	Industry Total	2018
00-0000	2123		99060	24.0	Industry Total	2018
00-0000	2130		320670	28.12	Industry Total	2018
00-0000	2131		320670	28.12	Industry Total	2018
00-0000	2210		553830	38.12	Industry Total	2018
00-0000	2211		393110	39.26	Industry Total	2018
00-0000	2212		109210	40.0	Industry Total	2018
00-0000	2213		51520	25.4	Industry Total	2018
00-0000	2360		1586960	28.74	Industry Total	2018
00-0000	2361		778530	25.95	Industry Total	2018
00-0000	2362		808430	31.43	Industry Total	2018
00-0000	2370		1030820	27.55	Industry Total	2018
00-0000	2371		530910	27.18	Industry Total	2018
00-0000	2372		39030	32.75	Industry Total	2018
00-0000	2373		343120	27.27	Industry Total	2018
00-0000	2379		117760	28.38	Industry Total	2018
00-0000	2380		4548540	25.61	Industry Total	2018
00-0000	2381		912800	24.17	Industry Total	2018
00-0000	2382		2135700	27.37	Industry Total	2018
00-0000	2383		813870	23.88	Industry Total	2018
00-0000	2389		686170	24.09	Industry Total	2018
00-0000	3110		1598060	18.67	Industry Total	2018
00-0000	3111		61860	21.52	Industry Total	2018
00-0000	3112		59380	24.06	Industry Total	2018
00-0000	3113		76570	20.49	Industry Total	2018
00-0000	3114		169150	19.81	Industry Total	2018
00-0000	3115		145530	22.16	Industry Total	2018
00-0000	3116		517920	16.16	Industry Total	2018
00-0000	3117		31300	17.38	Industry Total	2018
00-0000	3118		312350	17.01	Industry Total	2018
00-0000	3119		224020	20.97	Industry Total	2018
00-0000	3120		271150	21.67	Industry Total	2018
00-0000	3121		259700	21.49	Industry Total	2018
00-0000	3122		11450	25.79	Industry Total	2018
00-0000	3130		110400	19.19	Industry Total	2018
00-0000	3131		28340	16.34	Industry Total	2018
00-0000	3132		52880	19.47	Industry Total	2018
00-0000	3133		29180	21.47	Industry Total	2018
00-0000	3140		115530	17.9	Industry Total	2018
00-0000	3141		51790	17.8	Industry Total	2018
00-0000	3149		63740	17.97	Industry Total	2018
00-0000	3150		113370	18.29	Industry Total	2018
00-0000	3151		9820	15.3	Industry Total	2018
00-0000	3152		92760	18.74	Industry Total	2018
00-0000	3159		10790	17.12	Industry Total	2018
00-0000	3160		26790	18.82	Industry Total	2018
00-0000	3161		3450	17.49	Industry Total	2018
00-0000	3162		12470	19.99	Industry Total	2018
00-0000	3169		10880	17.9	Industry Total	2018
00-0000	3210		402510	18.66	Industry Total	2018
00-0000	3211		91920	18.78	Industry Total	2018
00-0000	3212		79770	19.79	Industry Total	2018
00-0000	3219		230810	18.22	Industry Total	2018
00-0000	3220		362100	24.09	Industry Total	2018
00-0000	3221		92180	27.89	Industry Total	2018
00-0000	3222		269920	22.79	Industry Total	2018
00-0000	3230		434830	21.81	Industry Total	2018
00-0000	3231		434830	21.81	Industry Total	2018
00-0000	3240		112360	35.73	Industry Total	2018
00-0000	3241		112360	35.73	Industry Total	2018
00-0000	3250		827600	32.28	Industry Total	2018
00-0000	3254		294250	36.0	Industry Total	2018
00-0000	3260		721790	21.72	Industry Total	2018
00-0000	3261		586900	21.44	Industry Total	2018
00-0000	3262		134890	22.91	Industry Total	2018
