occ_code	naics	own	tot_emp	h_mean	occ_title	year
00-0000	1133		71100	14.55	Industry Total	2002
00-0000	1151		284340	9.14	Industry Total	2002
00-0000	1152		25230	12.29	Industry Total	2002
00-0000	2111		119130	28.87	Industry Total	2002
00-0000	2121		71200	20.75	Industry Total	2002
00-0000	2122		27890	21.47	Industry Total	2002
00-0000	2123		104320	17.22	Industry Total	2002
00-0000	2131		171740	18.23	Industry Total	2002
00-0000	2211		425480	26.56	Industry Total	2002
00-0000	2212		112510	24.97	Industry Total	2002
00-0000	2213		47940	18.18	Industry Total	2002
00-0000	2361		827620	18.66	Industry Total	2002
00-0000	2362		768160	21.19	Industry Total	2002
00-0000	2371		392820	17.98	Industry Total	2002
00-0000	2372		86770	21.86	Industry Total	2002
00-0000	2373		374070	19.37	Industry Total	2002
00-0000	2379		119510	19.29	Industry Total	2002
00-0000	2381		953080	17.69	Industry Total	2002
00-0000	2382		1838960	19.81	Industry Total	2002
00-0000	2383		888990	17.6	Industry Total	2002
00-0000	2389		610520	17.43	Industry Total	2002
00-0000	3111		51030	15.7	Industry Total	2002
00-0000	3112		61910	17.96	Industry Total	2002
00-0000	3113		93840	14.15	Industry Total	2002
00-0000	3114		181590	13.81	Industry Total	2002
00-0000	3115		136430	15.98	Industry Total	2002
00-0000	3116		521540	11.13	Industry Total	2002
00-0000	3117		38040	11.53	Industry Total	2002
00-0000	3118		299860	13.32	Industry Total	2002
00-0000	3119		152090	15.19	Industry Total	2002
00-0000	3121		172420	17.17	Industry Total	2002
00-0000	3122		32680	17.36	Industry Total	2002
00-0000	3131		62540	12.39	Industry Total	2002
00-0000	3132		140130	13.63	Industry Total	2002
00-0000	3133		79470	14.37	Industry Total	2002
00-0000	3141		114930	12.18	Industry Total	2002
00-0000	3149		77360	12.86	Industry Total	2002
00-0000	3151		48630	11.49	Industry Total	2002
00-0000	3152		258460	11.57	Industry Total	2002
00-0000	3159		25950	11.58	Industry Total	2002
00-0000	3161		8780	14.55	Industry Total	2002
00-0000	3162		20520	11.86	Industry Total	2002
00-0000	3169		19440	12.6	Industry Total	2002
00-0000	3211		118460	13.67	Industry Total	2002
00-0000	3212		112770	14.07	Industry Total	2002
00-0000	3219		311880	13.43	Industry Total	2002
00-0000	3221		161030	20.73	Industry Total	2002
00-0000	3222		375060	16.4	Industry Total	2002
00-0000	3231		697760	16.86	Industry Total	2002
00-0000	3241		118720	24.06	Industry Total	2002
00-0000	3251		166710	24.53	Industry Total	2002
00-0000	3252		111980	22.27	Industry Total	2002
00-0000	3253		43030	21.04	Industry Total	2002
00-0000	3254		294870	25.03	Industry Total	2002
00-0000	3255		70650	19.96	Industry Total	2002
00-0000	3256		119120	17.97	Industry Total	2002
00-0000	3259		112920	20.32	Industry Total	2002
00-0000	3261		658540	14.97	Industry Total	2002
00-0000	3262		180590	16.42	Industry Total	2002
00-0000	3271		70840	14.88	Industry Total	2002
00-0000	3272		122460	16.0	Industry Total	2002
00-0000	3273		223450	16.21	Industry Total	2002
00-0000	3274		19410	16.58	Industry Total	2002
00-0000	3279		71290	16.26	Industry Total	2002
00-0000	3311		108200	19.82	Industry Total	2002
00-0000	3312		60010	17.44	Industry Total	2002
00-0000	3313		77840	16.61	Industry Total	2002
00-0000	3314		77670	18.44	Industry Total	2002
00-0000	3315		172960	16.65	Industry Total	2002
00-0000	3321		109420	17.28	Industry Total	2002
00-0000	3322		62530	16.15	Industry Total	2002
00-0000	3323		387530	16.15	Industry Total	2002
00-0000	3324		93820	17.5	Industry Total	2002
00-0000	3325		40210	15.42	Industry Total	2002
00-0000	3326		69490	15.39	Industry Total	2002
00-0000	3327		310540	17.24	Industry Total	2002
00-0000	3328		145800	15.05	Industry Total	2002
00-0000	3329		293270	17.84	Industry Total	2002
00-0000	3331		191560	18.2	Industry Total	2002
00-0000	3332		127230	21.27	Industry Total	2002
00-0000	3333		123580	20.87	Industry Total	2002
00-0000	3334		160390	15.96	Industry Total	2002
00-0000	3335		211900	19.37	Industry Total	2002
00-0000	3336		97860	19.94	Industry Total	2002
00-0000	3339		274580	19.21	Industry Total	2002
00-0000	3341		236750	28.9	Industry Total	2002
00-0000	3342		166410	23.32	Industry Total	2002
00-0000	3343		41080	18.68	Industry Total	2002
00-0000	3344		497110	22.16	Industry Total	2002
00-0000	3345		436560	25.28	Industry Total	2002
00-0000	3346		55710	20.11	Industry Total	2002
00-0000	3351		70250	16.05	Industry Total	2002
00-0000	3352		95440	15.78	Industry Total	2002
00-0000	3353		166690	17.77	Industry Total	2002
00-0000	3359		144560	17.37	Industry Total	2002
00-0000	3361		268280	25.63	Industry Total	2002
00-0000	3362		154420	15.97	Industry Total	2002
00-0000	3363		730450	19.45	Industry Total	2002
00-0000	3364		451790	25.45	Industry Total	2002
00-0000	3365		22790	18.23	Industry Total	2002
00-0000	3366		146810	16.81	Industry Total	2002
00-0000	3369		38920	18.36	Industry Total	2002
00-0000	3371		393050	13.49	Industry Total	2002
00-0000	3372		144670	15.63	Industry Total	2002
00-0000	3379		52970	13.96	Industry Total	2002
00-0000	3391		306580	17.7	Industry Total	2002
00-0000	3399		373180	15.52	Industry Total	2002
00-0000	4231		342910	16.8	Industry Total	2002
00-0000	4232		108070	18.28	Industry Total	2002
00-0000	4233		225320	17.88	Industry Total	2002
00-0000	4234		649760	24.67	Industry Total	2002
00-0000	4235		123790	19.19	Industry Total	2002
00-0000	4236		353660	22.78	Industry Total	2002
00-0000	4237		231290	19.07	Industry Total	2002
00-0000	4238		659130	19.74	Industry Total	2002
00-0000	4239		266230	16.53	Industry Total	2002
00-0000	4241		156740	19.79	Industry Total	2002
00-0000	4242		210240	21.82	Industry Total	2002
00-0000	4243		151730	19.6	Industry Total	2002
00-0000	4244		678200	16.54	Industry Total	2002
00-0000	4245		77100	13.55	Industry Total	2002
00-0000	4246		130500	22.19	Industry Total	2002
00-0000	4247		108070	17.04	Industry Total	2002
00-0000	4248		131240	19.34	Industry Total	2002
00-0000	4249		365140	15.69	Industry Total	2002
00-0000	4251		640060	22.75	Industry Total	2002
00-0000	4411		1252620	19.53	Industry Total	2002
00-0000	4412		143700	15.57	Industry Total	2002
00-0000	4413		486770	13.04	Industry Total	2002
00-0000	4421		282160	14.81	Industry Total	2002
00-0000	4422		263150	13.97	Industry Total	2002
00-0000	4431		530650	15.88	Industry Total	2002
00-0000	4441		1027630	13.4	Industry Total	2002
00-0000	4442		148280	12.34	Industry Total	2002
00-0000	4451		2456490	10.36	Industry Total	2002
00-0000	4452		261320	11.89	Industry Total	2002
00-0000	4453		141550	12.07	Industry Total	2002
00-0000	4461		928810	13.91	Industry Total	2002
00-0000	4471		889130	9.07	Industry Total	2002
00-0000	4481		957520	10.32	Industry Total	2002
00-0000	4482		180350	10.35	Industry Total	2002
00-0000	4483		169600	13.43	Industry Total	2002
00-0000	4511		440990	10.64	Industry Total	2002
00-0000	4512		226780	10.08	Industry Total	2002
00-0000	4521		1694700	9.92	Industry Total	2002
00-0000	4529		1119080	9.75	Industry Total	2002
00-0000	4531		114330	9.94	Industry Total	2002
00-0000	4532		444300	11.5	Industry Total	2002
00-0000	4533		109210	9.89	Industry Total	2002
00-0000	4539		303920	12.59	Industry Total	2002
00-0000	4541		225150	14.82	Industry Total	2002
00-0000	4542		57940	12.72	Industry Total	2002
00-0000	4543		161180	14.79	Industry Total	2002
00-0000	4811		518280	25.26	Industry Total	2002
00-0000	4812		43640	21.63	Industry Total	2002
00-0000	4821		221890	22.01	Industry Total	2002
00-0000	4831		32210	21.84	Industry Total	2002
00-0000	4832		19810	20.29	Industry Total	2002
00-0000	4841		949970	17.43	Industry Total	2002
00-0000	4842		392670	16.04	Industry Total	2002
00-0000	4851		36290	15.7	Industry Total	2002
00-0000	4852		22890	13.6	Industry Total	2002
00-0000	4853		67560	12.08	Industry Total	2002
00-0000	4854		174440	11.92	Industry Total	2002
00-0000	4855		34470	12.15	Industry Total	2002
00-0000	4859		56020	11.42	Industry Total	2002
00-0000	4861		7260	25.79	Industry Total	2002
00-0000	4862		29980	25.12	Industry Total	2002
00-0000	4869		5100	25.44	Industry Total	2002
00-0000	4871		8990	12.57	Industry Total	2002
00-0000	4872		13370	13.4	Industry Total	2002
00-0000	4879		2270	17.53	Industry Total	2002
00-0000	4881		134630	16.08	Industry Total	2002
00-0000	4882		19260	15.26	Industry Total	2002
00-0000	4883		93350	21.26	Industry Total	2002
00-0000	4884		72620	13.83	Industry Total	2002
00-0000	4885		166910	18.91	Industry Total	2002
00-0000	4889		29890	13.49	Industry Total	2002
00-0000	4921		540560	16.58	Industry Total	2002
00-0000	4922		51730	13.04	Industry Total	2002
00-0000	4931		519910	14.42	Industry Total	2002
00-0000	5111		705540	18.93	Industry Total	2002
00-0000	5112		244550	33.52	Industry Total	2002
00-0000	5121		370730	19.95	Industry Total	2002
00-0000	5122		28290	21.12	Industry Total	2002
00-0000	5151		243400	20.9	Industry Total	2002
00-0000	5152		89550	21.12	Industry Total	2002
00-0000	5161		32700	29.49	Industry Total	2002
00-0000	5171		613920	24.43	Industry Total	2002
00-0000	5172		192050	21.72	Industry Total	2002
00-0000	5173		168950	23.49	Industry Total	2002
00-0000	5175		128280	17.96	Industry Total	2002
00-0000	5179		7420	25.09	Industry Total	2002
00-0000	5181		130640	28.01	Industry Total	2002
00-0000	5182		295370	23.62	Industry Total	2002
00-0000	5191		46610	16.43	Industry Total	2002
00-0000	5211		23200	22.26	Industry Total	2002
00-0000	5221		1725430	17.53	Industry Total	2002
00-0000	5222		697160	21.59	Industry Total	2002
00-0000	5223		264750	19.64	Industry Total	2002
00-0000	5231		505890	33.66	Industry Total	2002
00-0000	5232		9240	33.91	Industry Total	2002
