occ_code	sic	tot_emp	h_mean	occ_title	year
00-0000	071	4650	12.84	Industry Total	1999
11-0000	071	480	25.39	Management Occupations	1999
11-1011	071	60	31.21	Chief Executives	1999
11-1021	071	210	27.44	General and Operations Managers	1999
11-9011	071	60	18.07	Farm, Ranch, and Other Agricultural Managers	1999
37-0000	071	690	13.58	Building and Grounds Cleaning and Maintenance Occupations	1999
37-3011	071	190	11.65	Landscaping and Groundskeeping Workers	1999
37-3012	071	360	10.23	Pesticide Handlers, Sprayers, and Applicators, Vegetation	1999
41-4012	071	30	16.47	Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products	1999
43-0000	071	430	10.16	Office and Administrative Support Occupations	1999
43-1011	071	30	17.18	First-Line Supervisors/Managers of Office and Administrative Support Workers	1999
43-3031	071	100	10.74	Bookkeeping, Accounting, and Auditing Clerks	1999
43-6011	071	30	14.46	Executive Secretaries and Administrative Assistants	1999
43-6014	071	130	9.22	Secretaries, Except Legal, Medical, and Executive	1999
43-9061	071	60	10.59	Office Clerks, General	1999
45-0000	071	1750	10.73	Farming, Fishing, and Forestry Occupations	1999
45-1011	071	180	15.01	First-Line Supervisors/Managers of Farming, Fishing, and Forestry Workers	1999
45-2091	071	1090	11.51	Agricultural Equipment Operators	1999
45-2092	071	480	7.44	Farmworkers and Laborers, Crop, Nursery, and Greenhouse	1999
47-0000	071	100	9.65	Construction and Extraction Occupations	1999
47-2073	071	60	9.42	Operating Engineers and Other Construction Equipment Operators	1999
49-0000	071	210	12.33	Installation, Maintenance, and Repair Occupations	1999
49-3031	071	30	11.0	Bus and Truck Mechanics and Diesel Engine Specialists	1999
49-3041	071	90	14.39	Farm Equipment Mechanics	1999
53-0000	071	830	10.51	Transportation and Material Moving Occupations	1999
53-3032	071	400	11.79	Truck Drivers, Heavy and Tractor-Trailer	1999
53-3033	071	120	10.19	Truck Drivers, Light Or Delivery Services	1999
53-7062	071	220	8.05	Laborers and Freight, Stock, and Material Movers, Hand	1999
00-0000	072	129790	9.22	Industry Total	1999
11-0000	072	5880	27.06	Management Occupations	1999
11-1011	072	720	33.58	Chief Executives	1999
11-1021	072	2220	28.41	General and Operations Managers	1999
11-2022	072	570	30.5	Sales Managers	1999
11-3031	072	320	27.17	Financial Managers	1999
11-3040	072	160	21.45	Human Resources Managers	1999
11-3051	072	340	22.03	Industrial Production Managers	1999
11-3071	072	240	18.57	Transportation, Storage, and Distribution Managers	1999
