occ_code	naics	own	tot_emp	h_mean	occ_title	year
00-0000	1130		44400	26.16	All Occupations	2023
00-0000	1133		44400	26.16	All Occupations	2023
00-0000	1150		369190	20.02	All Occupations	2023
00-0000	1151		337310	19.81	All Occupations	2023
00-0000	1152		31880	22.16	All Occupations	2023
00-0000	2110		108660	52.75	All Occupations	2023
00-0000	2111		108660	52.75	All Occupations	2023
00-0000	2120		183640	32.83	All Occupations	2023
00-0000	2121		41940	37.58	All Occupations	2023
00-0000	2122		42530	37.16	All Occupations	2023
00-0000	2123		99180	28.97	All Occupations	2023
00-0000	2130		278870	33.67	All Occupations	2023
00-0000	2131		278870	33.67	All Occupations	2023
00-0000	2210		564750	46.76	All Occupations	2023
00-0000	2211		393880	48.89	All Occupations	2023
00-0000	2212		112540	47.23	All Occupations	2023
00-0000	2213		58320	31.45	All Occupations	2023
00-0000	2360		1784850	35.29	All Occupations	2023
00-0000	2361		926630	31.86	All Occupations	2023
00-0000	2362		858220	39.0	All Occupations	2023
00-0000	2370		1105780	33.99	All Occupations	2023
00-0000	2371		577300	33.43	All Occupations	2023
00-0000	2372		34440	42.74	All Occupations	2023
00-0000	2373		367580	34.16	All Occupations	2023
00-0000	2379		126460	33.67	All Occupations	2023
00-0000	2380		5030450	31.05	All Occupations	2023
00-0000	2381		978830	29.91	All Occupations	2023
00-0000	2382		2435210	32.87	All Occupations	2023
00-0000	2383		839170	28.83	All Occupations	2023
00-0000	2389		777250	29.21	All Occupations	2023
00-0000	3110		1717590	23.54	All Occupations	2023
00-0000	3111		73590	26.68	All Occupations	2023
00-0000	3112		65020	31.35	All Occupations	2023
00-0000	3113		81870	24.1	All Occupations	2023
00-0000	3114		170880	24.28	All Occupations	2023
00-0000	3115		162350	26.63	All Occupations	2023
00-0000	3116		542990	21.27	All Occupations	2023
00-0000	3117		29430	22.49	All Occupations	2023
00-0000	3118		331820	21.27	All Occupations	2023
00-0000	3119		259650	25.86	All Occupations	2023
00-0000	3120		328220	25.86	All Occupations	2023
00-0000	3121		316940	25.62	All Occupations	2023
00-0000	3122		11280	32.48	All Occupations	2023
00-0000	3130		89630	23.52	All Occupations	2023
00-0000	3131		22300	20.78	All Occupations	2023
00-0000	3132		43680	24.16	All Occupations	2023
00-0000	3133		23650	24.93	All Occupations	2023
00-0000	3140		100360	21.92	All Occupations	2023
00-0000	3141		40450	22.06	All Occupations	2023
00-0000	3149		59910	21.82	All Occupations	2023
00-0000	3150		90080	23.44	All Occupations	2023
00-0000	3151		7010	19.29	All Occupations	2023
00-0000	3152		70320	24.21	All Occupations	2023
00-0000	3159		12760	21.48	All Occupations	2023
00-0000	3160		25470	20.8	All Occupations	2023
00-0000	3161		3270	22.75	All Occupations	2023
00-0000	3162		11220	20.57	All Occupations	2023
00-0000	3169		10980	20.46	All Occupations	2023
00-0000	3210		423390	23.19	All Occupations	2023
00-0000	3211		92180	23.11	All Occupations	2023
00-0000	3212		83990	23.67	All Occupations	2023
00-0000	3219		247210	23.06	All Occupations	2023
00-0000	3220		361170	29.77	All Occupations	2023
00-0000	3221		88180	35.02	All Occupations	2023
00-0000	3222		273000	28.08	All Occupations	2023
00-0000	3230		378410	25.09	All Occupations	2023
00-0000	3231		378410	25.09	All Occupations	2023
00-0000	3240		108320	45.22	All Occupations	2023
00-0000	3241		108320	45.22	All Occupations	2023
00-0000	3250		888410	38.44	All Occupations	2023
00-0000	3254		341770	41.91	All Occupations	2023
00-0000	3260		741050	26.26	All Occupations	2023
00-0000	3261		605750	26.06	All Occupations	2023
00-0000	3262		135300	27.13	All Occupations	2023
00-0000	3270		417020	27.63	All Occupations	2023
00-0000	3310		370690	29.48	All Occupations	2023
00-0000	3311		83950	31.15	All Occupations	2023
