occ_code	sic	tot_emp	h_mean	occ_title	year
00000	071	4250	11.87	Industry Total	1997
10000	071	310	22.83	Managerial & Administrative	1997
19005	071	250	23.94	General Managers & Top Executives	1997
20000	071	80	16.85	Professional/Paraprofessional & Technical Occupations	1997
21999	071	30	20.7	All Other Management Support	1997
24300	071	30	15.21	Life Scientists	1997
40000	071	60	14.63	Sales & Related Occupations	1997
50000	071	500	9.88	Clerical & Administrative Support	1997
51002	071	80	12.9	First Line Supervisors, Clerical & Administrative	1997
55108	071	130	9.41	Secretaries, Except Legal & Medical	1997
55338	071	120	9.6	Bookkeeping, Accounting & Auditing Clerks	1997
55347	071	120	8.08	General Office Clerks	1997
58000	071	30	11.24	Material Recording/Scheduling/Dispatching/Distributing	1997
70000	071	1530	10.56	Agricultural, Forestry, Fishing & Related	1997
72002	071	170	19.9	First Line Supervisors, Agricultural/Forestry/Fishing	1997
79021	071	680	10.2	Farm Equipment Operators	1997
79036	071	210	9.47	Sprayers/Applicators	1997
79041	071	90	7.92	Laborers, Landscaping & Groundskeeping	1997
79856	071	300	8.38	Farmworkers, Food & Fiber Crops	1997
79999	071	80	8.08	All Other Agricultural, Forestry & Fishing Workers	1997
80000	071	1750	11.27	Product/Construct/Operate Maintenance/Material Handling	1997
81000	071	100	16.49	First Line Supervisors-Product/Construct/Maintenance/Related	1997
81008	071	50	16.44	First Line Supervisors, Production & Operating	1997
81099	071	30	16.74	Other First Line Supervisors, Product/Construct/Maintain	1997
85000	071	140	13.81	Mechanics, Installers & Repairers	1997
85321	071	80	15.25	Farm Equipment Mechanics	1997
92900	071	40	12.55	Other Machine Setters, Operators & Tenders	1997
97100	071	1060	11.02	Motor Vehicle Operators	1997
97102	071	830	11.48	Truck Drivers, Heavy or Tractor Trailer	1997
97105	071	230	9.37	Truck Drivers-Light, Include Delivery/Route Workers	1997
97899	071	30	25.4	All Other Transportation & Related Workers	1997
97900	071	210	8.6	Material Moving Equipment Operators	1997
97947	071	160	8.12	Industrial Truck & Tractor Operators	1997
97989	071	50	10.06	Other Material Moving Equipment Operators	1997
98000	071	140	7.91	Helpers, Laborers & Material Movers, Hand	1997
98999	071	140	7.91	Other Helpers, Laborers & Material Movers, Hand	1997
00000	072	130710	8.3	Industry Total	1997
10000	072	4840	23.68	Managerial & Administrative	1997
13002	072	140	22.7	Financial Managers	1997
13005	072	360	15.43	Personnel, Training & Labor Relations Managers	1997
13011	072	650	25.9	Marketing/Advertising/Public Relations Managers	1997
19005	072	3480	24.37	General Managers & Top Executives	1997
