occ_code	naics	own	tot_emp	h_mean	occ_title	year
00-0000	1130		43100	26.92	All Occupations	2024
00-0000	1133		43100	26.92	All Occupations	2024
00-0000	1150		384160	20.63	All Occupations	2024
00-0000	1151		351890	20.45	All Occupations	2024
00-0000	1152		32270	22.6	All Occupations	2024
00-0000	2110		113830	55.17	All Occupations	2024
00-0000	2111		113830	55.17	All Occupations	2024
00-0000	2120		188970	34.54	All Occupations	2024
00-0000	2121		41810	39.06	All Occupations	2024
00-0000	2122		44250	38.95	All Occupations	2024
00-0000	2123		102920	30.81	All Occupations	2024
00-0000	2130		276540	33.75	All Occupations	2024
00-0000	2131		276540	33.75	All Occupations	2024
00-0000	2210		582700	48.94	All Occupations	2024
00-0000	2211		406570	51.08	All Occupations	2024
00-0000	2212		115570	49.79	All Occupations	2024
00-0000	2213		60560	33.02	All Occupations	2024
00-0000	2360		1826650	36.72	All Occupations	2024
00-0000	2361		939690	32.99	All Occupations	2024
00-0000	2362		886960	40.67	All Occupations	2024
00-0000	2370		1144560	35.51	All Occupations	2024
00-0000	2371		591370	34.77	All Occupations	2024
00-0000	2372		34510	43.79	All Occupations	2024
00-0000	2373		385320	35.72	All Occupations	2024
00-0000	2379		133370	36.04	All Occupations	2024
00-0000	2380		5155920	32.23	All Occupations	2024
00-0000	2381		1003380	31.03	All Occupations	2024
00-0000	2382		2507300	34.03	All Occupations	2024
00-0000	2383		844200	29.94	All Occupations	2024
00-0000	2389		801040	30.52	All Occupations	2024
00-0000	3110		1748190	24.66	All Occupations	2024
00-0000	3111		75010	28.63	All Occupations	2024
00-0000	3112		66370	33.34	All Occupations	2024
00-0000	3113		82960	25.3	All Occupations	2024
00-0000	3114		171060	25.7	All Occupations	2024
00-0000	3115		164660	27.7	All Occupations	2024
00-0000	3116		551360	22.2	All Occupations	2024
00-0000	3117		28730	24.21	All Occupations	2024
00-0000	3118		343330	22.14	All Occupations	2024
00-0000	3119		264700	27.03	All Occupations	2024
00-0000	3120		335140	27.11	All Occupations	2024
00-0000	3121		324250	26.83	All Occupations	2024
00-0000	3122		10890	35.25	All Occupations	2024
00-0000	3130		83420	24.58	All Occupations	2024
00-0000	3131		19820	21.48	All Occupations	2024
00-0000	3132		41730	25.18	All Occupations	2024
00-0000	3133		21870	26.24	All Occupations	2024
00-0000	3140		97430	23.14	All Occupations	2024
00-0000	3141		38570	23.16	All Occupations	2024
00-0000	3149		58850	23.13	All Occupations	2024
00-0000	3150		83200	25.29	All Occupations	2024
00-0000	3151		6140	20.14	All Occupations	2024
00-0000	3152		65100	26.35	All Occupations	2024
00-0000	3159		11950	22.15	All Occupations	2024
00-0000	3160		24720	22.12	All Occupations	2024
00-0000	3161		3130	23.53	All Occupations	2024
00-0000	3162		10970	21.74	All Occupations	2024
00-0000	3169		10630	22.09	All Occupations	2024
00-0000	3210		415620	24.35	All Occupations	2024
00-0000	3211		89700	24.84	All Occupations	2024
00-0000	3212		82080	24.86	All Occupations	2024
00-0000	3219		243840	23.99	All Occupations	2024
00-0000	3220		355390	31.44	All Occupations	2024
00-0000	3221		85290	37.11	All Occupations	2024
00-0000	3222		270100	29.66	All Occupations	2024
00-0000	3230		364630	26.26	All Occupations	2024
00-0000	3231		364630	26.26	All Occupations	2024
00-0000	3240		111570	46.58	All Occupations	2024
00-0000	3241		111570	46.58	All Occupations	2024
00-0000	3250		890240	39.53	All Occupations	2024
00-0000	3254		346480	42.56	All Occupations	2024
00-0000	3260		724100	27.58	All Occupations	2024
00-0000	3261		591330	27.3	All Occupations	2024
00-0000	3262		132780	28.85	All Occupations	2024
00-0000	3270		416990	28.88	All Occupations	2024
00-0000	3310		369660	30.72	All Occupations	2024
00-0000	3311		84880	33.24	All Occupations	2024
00-0000	3312		59620	30.09	All Occupations	2024
00-0000	3313		57990	30.94	All Occupations	2024
00-0000	3314		61300	32.52	All Occupations	2024
00-0000	3315		105860	27.87	All Occupations	2024
00-0000	3320		1442570	29.3	All Occupations	2024
00-0000	3327		335780	29.38	All Occupations	2024
00-0000	3328		130630	25.68	All Occupations	2024
00-0000	3330		1114680	33.82	All Occupations	2024
00-0000	3333		86410	37.61	All Occupations	2024
00-0000	3335		157340	31.12	All Occupations	2024
00-0000	3336		93760	37.65	All Occupations	2024
00-0000	3340		1026710	47.89	All Occupations	2024
00-0000	3341		108140	56.19	All Occupations	2024
00-0000	3342		82270	48.32	All Occupations	2024
00-0000	3343		18460	42.6	All Occupations	2024
00-0000	3344		395640	45.75	All Occupations	2024
00-0000	3345		411900	47.86	All Occupations	2024
00-0000	3346		10300	50.66	All Occupations	2024
00-0000	3350		412810	31.9	All Occupations	2024
00-0000	3351		36380	32.88	All Occupations	2024
00-0000	3352		57380	26.91	All Occupations	2024
00-0000	3353		153200	32.92	All Occupations	2024
00-0000	3359		165850	32.48	All Occupations	2024
00-0000	3360		1777470	36.6	All Occupations	2024
00-0000	3361		294590	37.03	All Occupations	2024
00-0000	3362		164000	26.72	All Occupations	2024
00-0000	3363		553200	28.36	All Occupations	2024
00-0000	3364		550970	49.18	All Occupations	2024
00-0000	3365		22220	33.95	All Occupations	2024
00-0000	3366		151710	33.23	All Occupations	2024
00-0000	3369		40790	28.86	All Occupations	2024
00-0000	3370		349750	25.84	All Occupations	2024
00-0000	3379		27710	23.33	All Occupations	2024
00-0000	3390		623370	32.12	All Occupations	2024
00-0000	3391		331810	35.08	All Occupations	2024
00-0000	3399		291570	28.75	All Occupations	2024
