occ_code	naics	own	tot_emp	h_mean	occ_title	year
00-0000	1130		47770	23.0	All Occupations	2020
00-0000	1133		47770	23.0	All Occupations	2020
00-0000	1150		382170	16.53	All Occupations	2020
00-0000	1151		350400	16.26	All Occupations	2020
00-0000	1152		31770	19.6	All Occupations	2020
00-0000	2110		124460	46.95	All Occupations	2020
00-0000	2111		124460	46.95	All Occupations	2020
00-0000	2120		182270	27.95	All Occupations	2020
00-0000	2121		43180	30.42	All Occupations	2020
00-0000	2122		40580	31.86	All Occupations	2020
00-0000	2123		98510	25.25	All Occupations	2020
00-0000	2130		272160	28.97	All Occupations	2020
00-0000	2131		272160	28.97	All Occupations	2020
00-0000	2210		541300	40.42	All Occupations	2020
00-0000	2211		379980	41.78	All Occupations	2020
00-0000	2212		107810	42.05	All Occupations	2020
00-0000	2213		53510	27.5	All Occupations	2020
00-0000	2360		1606970	30.66	All Occupations	2020
00-0000	2361		799240	27.76	All Occupations	2020
00-0000	2362		807730	33.52	All Occupations	2020
00-0000	2370		1070670	29.3	All Occupations	2020
00-0000	2371		557080	28.8	All Occupations	2020
00-0000	2372		35320	35.47	All Occupations	2020
00-0000	2373		357880	29.32	All Occupations	2020
00-0000	2379		120390	29.76	All Occupations	2020
00-0000	2380		4609290	27.27	All Occupations	2020
00-0000	2381		924210	25.97	All Occupations	2020
00-0000	2382		2186350	28.95	All Occupations	2020
00-0000	2383		804030	25.45	All Occupations	2020
00-0000	2389		694690	25.86	All Occupations	2020
00-0000	3110		1596500	20.04	All Occupations	2020
00-0000	3111		64570	22.42	All Occupations	2020
00-0000	3112		61810	25.53	All Occupations	2020
00-0000	3113		73160	21.49	All Occupations	2020
00-0000	3114		164760	21.45	All Occupations	2020
00-0000	3115		150050	22.89	All Occupations	2020
00-0000	3116		531950	17.56	All Occupations	2020
00-0000	3117		29920	19.84	All Occupations	2020
00-0000	3118		292650	18.25	All Occupations	2020
00-0000	3119		227630	22.63	All Occupations	2020
00-0000	3120		271400	23.19	All Occupations	2020
00-0000	3121		261550	22.92	All Occupations	2020
00-0000	3122		9850	30.46	All Occupations	2020
00-0000	3130		92730	20.44	All Occupations	2020
00-0000	3131		21580	17.59	All Occupations	2020
00-0000	3132		46060	20.92	All Occupations	2020
00-0000	3133		25100	22.0	All Occupations	2020
00-0000	3140		102290	19.0	All Occupations	2020
00-0000	3141		43670	18.86	All Occupations	2020
00-0000	3149		58620	19.1	All Occupations	2020
00-0000	3150		91890	20.31	All Occupations	2020
00-0000	3151		8480	17.55	All Occupations	2020
00-0000	3152		73630	20.76	All Occupations	2020
00-0000	3159		9780	19.31	All Occupations	2020
00-0000	3160		23560	20.01	All Occupations	2020
00-0000	3161		2800	19.98	All Occupations	2020
