occ_code	sic	tot_emp	h_mean	occ_title	year
00-0000	071	4800	13.21	Industry Total	2000
11-0000	071	380	27.72	Management Occupations	2000
11-1011	071	60	32.62	Chief Executives	2000
11-1021	071	200	28.22	General and Operations Managers	2000
11-2022	071	50	26.86	Sales Managers	2000
11-9011	071	40	19.39	Farm, Ranch, and Other Agricultural Managers	2000
17-0000	071	40	20.71	Architecture and Engineering Occupations	2000
19-0000	071	60	18.58	Life, Physical, and Social Science Occupations	2000
37-0000	071	570	12.63	Building and Grounds Cleaning and Maintenance Occupations	2000
37-1012	071	60	19.27	First-Line Supervisors/Managers of Landscaping, Lawn Service, and Groundskeeping Workers	2000
37-3011	071	250	11.48	Landscaping and Groundskeeping Workers	2000
37-3012	071	230	12.61	Pesticide Handlers, Sprayers, and Applicators, Vegetation	2000
41-0000	071	130	21.04	Sales and Related Occupations	2000
41-4012	071	80	23.34	Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products	2000
43-0000	071	480	10.53	Office and Administrative Support Occupations	2000
43-1011	071	30	13.51	First-Line Supervisors/Managers of Office and Administrative Support Workers	2000
43-3031	071	120	12.22	Bookkeeping, Accounting, and Auditing Clerks	2000
43-6011	071	30	14.79	Executive Secretaries and Administrative Assistants	2000
43-6014	071	150	8.42	Secretaries, Except Legal, Medical, and Executive	2000
43-9061	071	80	10.01	Office Clerks, General	2000
45-0000	071	1740	11.37	Farming, Fishing, and Forestry Occupations	2000
45-1011	071	170	16.56	First-Line Supervisors/Managers of Farming, Fishing, and Forestry Workers	2000
45-2091	071	1150	11.71	Agricultural Equipment Operators	2000
45-2092	071	330	7.98	Farmworkers and Laborers, Crop, Nursery, and Greenhouse	2000
47-0000	071	210	12.42	Construction and Extraction Occupations	2000
47-1011	071	30	18.2	First-Line Supervisors/Managers of Construction Trades and Extraction Workers	2000
47-2073	071	130	11.47	Operating Engineers and Other Construction Equipment Operators	2000
49-0000	071	200	12.99	Installation, Maintenance, and Repair Occupations	2000
49-3031	071	30	9.07	Bus and Truck Mechanics and Diesel Engine Specialists	2000
49-3041	071	90	16.33	Farm Equipment Mechanics	2000
49-9042	071	30	10.51	Maintenance and Repair Workers, General	2000
51-0000	071	100	9.72	Production Occupations	2000
53-0000	071	860	10.99	Transportation and Material Moving Occupations	2000
53-3032	071	460	11.76	Truck Drivers, Heavy and Tractor-Trailer	2000
53-3033	071	160	9.57	Truck Drivers, Light Or Delivery Services	2000
53-7062	071	150	8.47	Laborers and Freight, Stock, and Material Movers, Hand	2000
00-0000	072	127220	9.51	Industry Total	2000
11-0000	072	5210	27.36	Management Occupations	2000
11-1011	072	520	39.76	Chief Executives	2000
11-1021	072	1870	29.33	General and Operations Managers	2000
11-2011	072	40	33.76	Advertising and Promotions Managers	2000
11-2022	072	370	36.37	Sales Managers	2000
11-3031	072	280	30.27	Financial Managers	2000
11-3040	072	110	25.95	Human Resources Managers	2000
