occ_code	naics	own	tot_emp	h_mean	occ_title	year
00-0000	1130		49250	20.34	Industry Total	2017
00-0000	1133		49250	20.34	Industry Total	2017
00-0000	1150		374770	14.17	Industry Total	2017
00-0000	1151		344410	13.82	Industry Total	2017
00-0000	1152		30360	18.13	Industry Total	2017
00-0000	2110		135480	43.02	Industry Total	2017
00-0000	2111		135480	43.02	Industry Total	2017
00-0000	2120		182720	26.38	Industry Total	2017
00-0000	2121		49650	28.9	Industry Total	2017
00-0000	2122		38100	29.6	Industry Total	2017
00-0000	2123		94970	23.78	Industry Total	2017
00-0000	2130		272930	28.01	Industry Total	2017
00-0000	2131		272930	28.01	Industry Total	2017
00-0000	2210		552270	37.19	Industry Total	2017
00-0000	2211		389680	38.23	Industry Total	2017
00-0000	2212		112420	39.0	Industry Total	2017
00-0000	2213		50170	25.06	Industry Total	2017
00-0000	2360		1519970	28.16	Industry Total	2017
00-0000	2361		738920	25.27	Industry Total	2017
00-0000	2362		781050	30.88	Industry Total	2017
00-0000	2370		997060	26.73	Industry Total	2017
00-0000	2371		508770	26.39	Industry Total	2017
00-0000	2372		39770	30.98	Industry Total	2017
00-0000	2373		337330	26.45	Industry Total	2017
00-0000	2379		111180	27.6	Industry Total	2017
00-0000	2380		4386080	24.9	Industry Total	2017
00-0000	2381		878880	23.28	Industry Total	2017
00-0000	2382		2060830	26.73	Industry Total	2017
00-0000	2383		788730	23.36	Industry Total	2017
00-0000	2389		657640	23.14	Industry Total	2017
00-0000	3110		1565530	18.1	Industry Total	2017
00-0000	3111		59920	21.28	Industry Total	2017
00-0000	3112		60140	22.89	Industry Total	2017
00-0000	3113		74920	20.19	Industry Total	2017
00-0000	3114		165480	19.05	Industry Total	2017
00-0000	3115		140710	21.58	Industry Total	2017
00-0000	3116		505230	15.48	Industry Total	2017
00-0000	3117		32260	16.16	Industry Total	2017
00-0000	3118		310360	16.71	Industry Total	2017
00-0000	3119		216500	20.58	Industry Total	2017
00-0000	3120		256460	21.35	Industry Total	2017
00-0000	3121		244390	21.15	Industry Total	2017
00-0000	3122		12070	25.28	Industry Total	2017
00-0000	3130		111870	18.54	Industry Total	2017
00-0000	3131		28580	16.16	Industry Total	2017
00-0000	3132		53780	18.59	Industry Total	2017
00-0000	3133		29510	20.75	Industry Total	2017
00-0000	3140		116410	17.45	Industry Total	2017
00-0000	3141		52770	17.24	Industry Total	2017
00-0000	3149		63640	17.63	Industry Total	2017
00-0000	3150		123000	17.96	Industry Total	2017
00-0000	3151		10760	15.49	Industry Total	2017
00-0000	3152		101010	18.33	Industry Total	2017
00-0000	3159		11230	16.97	Industry Total	2017
00-0000	3160		27570	18.93	Industry Total	2017
00-0000	3161		3740	17.87	Industry Total	2017
00-0000	3162		12820	21.06	Industry Total	2017
00-0000	3169		11020	16.81	Industry Total	2017
00-0000	3210		395410	18.13	Industry Total	2017
00-0000	3211		92270	18.2	Industry Total	2017
00-0000	3212		77470	19.21	Industry Total	2017
00-0000	3219		225670	17.74	Industry Total	2017
00-0000	3220		365800	23.64	Industry Total	2017
00-0000	3221		96770	26.82	Industry Total	2017
00-0000	3222		269030	22.5	Industry Total	2017
00-0000	3230		444320	21.24	Industry Total	2017
00-0000	3231		444320	21.24	Industry Total	2017
00-0000	3240		112870	34.28	Industry Total	2017
00-0000	3241		112870	34.28	Industry Total	2017
00-0000	3250		814820	31.29	Industry Total	2017
00-0000	3254		287550	34.76	Industry Total	2017
00-0000	3260		708570	21.1	Industry Total	2017
00-0000	3261		574280	20.93	Industry Total	2017
00-0000	3262		134290	21.87	Industry Total	2017
00-0000	3270		409100	21.86	Industry Total	2017
00-0000	3310		365260	23.64	Industry Total	2017
00-0000	3311		80580	25.27	Industry Total	2017
00-0000	3312		54340	23.16	Industry Total	2017
00-0000	3313		56810	22.9	Industry Total	2017
00-0000	3314		57640	25.43	Industry Total	2017
00-0000	3315		115890	22.2	Industry Total	2017
00-0000	3320		1406170	22.9	Industry Total	2017
00-0000	3327		348410	23.11	Industry Total	2017
00-0000	3328		135460	20.37	Industry Total	2017
00-0000	3330		1059170	26.55	Industry Total	2017
00-0000	3333		89280	29.04	Industry Total	2017
00-0000	3335		178880	25.14	Industry Total	2017
00-0000	3336		92660	27.39	Industry Total	2017
00-0000	3340		1037260	38.38	Industry Total	2017
00-0000	3341		160920	46.38	Industry Total	2017
00-0000	3342		85060	38.4	Industry Total	2017
00-0000	3343		18130	36.34	Industry Total	2017
00-0000	3344		360540	35.62	Industry Total	2017
00-0000	3345		400010	38.08	Industry Total	2017
00-0000	3346		12600	27.02	Industry Total	2017
00-0000	3350		381030	26.0	Industry Total	2017
00-0000	3351		48700	25.02	Industry Total	2017
00-0000	3352		61360	24.64	Industry Total	2017
00-0000	3353		137050	27.1	Industry Total	2017
00-0000	3359		133910	25.86	Industry Total	2017
00-0000	3360		1622020	28.39	Industry Total	2017
00-0000	3361		217500	26.88	Industry Total	2017
00-0000	3362		147850	20.8	Industry Total	2017
00-0000	3363		588180	22.75	Industry Total	2017
00-0000	3364		478090	39.3	Industry Total	2017
00-0000	3365		22290	24.47	Industry Total	2017
00-0000	3366		134060	26.66	Industry Total	2017
00-0000	3369		34050	24.65	Industry Total	2017
00-0000	3370		388510	19.45	Industry Total	2017
00-0000	3379		34830	19.02	Industry Total	2017
00-0000	3390		588440	24.61	Industry Total	2017
00-0000	3391		305400	26.61	Industry Total	2017
00-0000	3399		283040	22.45	Industry Total	2017
00-0000	4230		2932250	27.76	Industry Total	2017
00-0000	4231		333670	22.94	Industry Total	2017
00-0000	4234		617880	33.65	Industry Total	2017
00-0000	4238		654820	27.49	Industry Total	2017
00-0000	4240		2036350	24.59	Industry Total	2017
00-0000	4243		147390	27.0	Industry Total	2017
00-0000	4245		73050	20.23	Industry Total	2017
00-0000	4250		876980	32.67	Industry Total	2017
00-0000	4251		876980	32.67	Industry Total	2017
00-0000	4410		1996230	20.76	Industry Total	2017
00-0000	4411		1289250	22.87	Industry Total	2017
00-0000	4412		153470	20.07	Industry Total	2017
00-0000	4413		553520	16.05	Industry Total	2017
00-0000	4420		478010	17.22	Industry Total	2017
00-0000	4421		222550	17.76	Industry Total	2017
00-0000	4422		255460	16.74	Industry Total	2017
00-0000	4430		508810	18.05	Industry Total	2017
00-0000	4431		508810	18.05	Industry Total	2017
00-0000	4440		1288340	16.21	Industry Total	2017
00-0000	4441		1127330	16.26	Industry Total	2017
00-0000	4442		161010	15.82	Industry Total	2017
00-0000	4450		3082790	13.62	Industry Total	2017
00-0000	4453		156210	13.93	Industry Total	2017
00-0000	4460		1072640	21.39	Industry Total	2017
00-0000	4461		1072640	21.39	Industry Total	2017
00-0000	4470		927700	11.87	Industry Total	2017
00-0000	4471		927700	11.87	Industry Total	2017
00-0000	4480		1414320	14.17	Industry Total	2017
00-0000	4481		1063750	13.88	Industry Total	2017
00-0000	4482		213120	13.39	Industry Total	2017
00-0000	4483		137450	17.57	Industry Total	2017
00-0000	4510		619910	13.9	Industry Total	2017
00-0000	4511		537020	14.0	Industry Total	2017
00-0000	4512		82900	13.22	Industry Total	2017
00-0000	4520		3220360	13.79	Industry Total	2017
00-0000	4530		837730	14.51	Industry Total	2017
00-0000	4531		63910	13.6	Industry Total	2017
00-0000	4539		331400	15.34	Industry Total	2017
00-0000	4540		562280	22.36	Industry Total	2017
00-0000	4541		391230	23.03	Industry Total	2017
00-0000	4542		39320	17.76	Industry Total	2017
00-0000	4543		131740	21.76	Industry Total	2017
00-0000	4810		482570	34.46	Industry Total	2017
00-0000	4811		438550	34.57	Industry Total	2017
00-0000	4812		44010	33.37	Industry Total	2017
00-0000	4820		236330	31.4	Industry Total	2017
00-0000	4821		236330	31.4	Industry Total	2017
00-0000	4830		62130	32.12	Industry Total	2017
00-0000	4831		36110	33.04	Industry Total	2017
00-0000	4832		26020	30.83	Industry Total	2017
