occ_code	naics	own	tot_emp	h_mean	occ_title	year
00-0000	1130		46010	24.72	All Occupations	2022
00-0000	1133		46010	24.72	All Occupations	2022
00-0000	1150		376640	18.68	All Occupations	2022
00-0000	1151		344650	18.43	All Occupations	2022
00-0000	1152		31990	21.36	All Occupations	2022
00-0000	2110		101560	51.34	All Occupations	2022
00-0000	2111		101560	51.34	All Occupations	2022
00-0000	2120		177790	31.13	All Occupations	2022
00-0000	2121		39080	35.85	All Occupations	2022
00-0000	2122		42300	34.94	All Occupations	2022
00-0000	2123		96420	27.56	All Occupations	2022
00-0000	2130		248100	31.38	All Occupations	2022
00-0000	2131		248100	31.38	All Occupations	2022
00-0000	2210		542780	45.02	All Occupations	2022
00-0000	2211		377920	46.81	All Occupations	2022
00-0000	2212		109600	46.38	All Occupations	2022
00-0000	2213		55260	30.12	All Occupations	2022
00-0000	2360		1720370	33.41	All Occupations	2022
00-0000	2361		904910	30.09	All Occupations	2022
00-0000	2362		815460	37.1	All Occupations	2022
00-0000	2370		1077840	32.44	All Occupations	2022
00-0000	2371		558760	31.84	All Occupations	2022
00-0000	2372		35140	39.77	All Occupations	2022
00-0000	2373		359720	32.58	All Occupations	2022
00-0000	2379		124210	32.68	All Occupations	2022
00-0000	2380		4885570	29.54	All Occupations	2022
00-0000	2381		951850	28.29	All Occupations	2022
00-0000	2382		2344220	31.37	All Occupations	2022
00-0000	2383		832290	27.43	All Occupations	2022
00-0000	2389		757210	27.73	All Occupations	2022
00-0000	3110		1660900	22.25	All Occupations	2022
00-0000	3111		70010	25.27	All Occupations	2022
00-0000	3112		62830	29.43	All Occupations	2022
00-0000	3113		79260	22.51	All Occupations	2022
00-0000	3114		172390	23.3	All Occupations	2022
00-0000	3115		157140	25.45	All Occupations	2022
00-0000	3116		520970	19.99	All Occupations	2022
00-0000	3117		29340	20.74	All Occupations	2022
00-0000	3118		319010	19.97	All Occupations	2022
00-0000	3119		249960	24.59	All Occupations	2022
00-0000	3120		319290	24.93	All Occupations	2022
00-0000	3121		308080	24.64	All Occupations	2022
00-0000	3122		11210	32.92	All Occupations	2022
00-0000	3130		94260	22.16	All Occupations	2022
00-0000	3131		23790	20.39	All Occupations	2022
00-0000	3132		46090	22.5	All Occupations	2022
00-0000	3133		24380	23.25	All Occupations	2022
00-0000	3140		103460	20.78	All Occupations	2022
00-0000	3141		42750	21.06	All Occupations	2022
00-0000	3149		60720	20.58	All Occupations	2022
00-0000	3150		92460	22.54	All Occupations	2022
00-0000	3151		7710	17.77	All Occupations	2022
00-0000	3152		72770	23.34	All Occupations	2022
00-0000	3159		11980	20.75	All Occupations	2022
00-0000	3160		26520	20.43	All Occupations	2022
00-0000	3161		3280	20.87	All Occupations	2022
00-0000	3162		11350	19.26	All Occupations	2022
00-0000	3169		11890	21.41	All Occupations	2022
00-0000	3210		423870	21.75	All Occupations	2022
00-0000	3211		91130	21.95	All Occupations	2022
00-0000	3212		85450	22.6	All Occupations	2022
00-0000	3219		247300	21.38	All Occupations	2022
00-0000	3220		358250	28.5	All Occupations	2022
00-0000	3221		87230	32.97	All Occupations	2022
00-0000	3222		271020	27.06	All Occupations	2022
00-0000	3230		379640	24.37	All Occupations	2022
00-0000	3231		379640	24.37	All Occupations	2022
00-0000	3240		103360	43.28	All Occupations	2022
00-0000	3241		103360	43.28	All Occupations	2022
00-0000	3250		873950	35.69	All Occupations	2022
00-0000	3254		331850	38.84	All Occupations	2022
00-0000	3260		744790	24.7	All Occupations	2022
00-0000	3261		611900	24.52	All Occupations	2022
00-0000	3262		132890	25.53	All Occupations	2022
00-0000	3270		411620	26.06	All Occupations	2022
00-0000	3310		357590	27.97	All Occupations	2022
00-0000	3311		80830	29.62	All Occupations	2022
00-0000	3312		55360	27.95	All Occupations	2022
00-0000	3313		58440	28.5	All Occupations	2022
00-0000	3314		57770	29.41	All Occupations	2022
00-0000	3315		105190	25.65	All Occupations	2022
00-0000	3320		1412500	26.67	All Occupations	2022
00-0000	3327		335430	26.75	All Occupations	2022
00-0000	3328		126300	23.6	All Occupations	2022
00-0000	3330		1088260	30.81	All Occupations	2022
00-0000	3333		88920	34.24	All Occupations	2022
00-0000	3335		162130	28.72	All Occupations	2022
00-0000	3336		88900	33.73	All Occupations	2022
00-0000	3340		1062440	45.25	All Occupations	2022
00-0000	3341		157600	57.45	All Occupations	2022
00-0000	3342		85260	42.99	All Occupations	2022
00-0000	3343		19330	41.21	All Occupations	2022
00-0000	3344		374590	39.82	All Occupations	2022
00-0000	3345		414420	46.31	All Occupations	2022
00-0000	3346		11230	40.2	All Occupations	2022
00-0000	3350		398070	30.21	All Occupations	2022
00-0000	3351		39820	29.35	All Occupations	2022
00-0000	3352		70110	30.13	All Occupations	2022
00-0000	3353		139680	31.5	All Occupations	2022
00-0000	3359		148450	29.26	All Occupations	2022
00-0000	3360		1667430	32.83	All Occupations	2022
00-0000	3361		270010	33.52	All Occupations	2022
00-0000	3362		168480	25.13	All Occupations	2022
00-0000	3363		543610	25.92	All Occupations	2022
00-0000	3364		477570	44.42	All Occupations	2022
00-0000	3365		19760	31.36	All Occupations	2022
00-0000	3366		147950	29.99	All Occupations	2022
