occ_code	naics	year	tot_emp	h_mean
0	5419	1997	423456.2300000001	13.312515744307264
10000	5419	1997	23608.84	27.679515312908208
13005	5419	1997	1064.1200000000001	18.817277656655264
13011	5419	1997	1437.69	25.905973888668626
13014	5419	1997	1438.08	21.556253129172237
15008	5419	1997	531.18	16.17137580481193
19005	5419	1997	11015.54	29.312987116382857
19999	5419	1997	3624.95	26.19195329590753
20000	5419	1997	155420.26	18.005632236106152
21100	5419	1997	1920.78	19.99499073293141
21114	5419	1997	1234.6699999999998	18.743330444572237
21511	5419	1997	666.8700000000001	19.17624634486482
21999	5419	1997	1994.32	18.66672148902884
25100	5419	1997	6150.72	24.039290522085214
32000	5419	1997	64536.049999999996	18.432370575825452
32111	5419	1997	49.95	24.6
32114	5419	1997	32317.65	26.49
32902	5419	1997	399.57000000000005	17.279195885576993
32905	5419	1997	795.72	13.264798672900014
32951	5419	1997	29030.94	9.5
32999	5419	1997	1169.04	19.188057893656335
39999	5419	1997	4986.3	19.399842929627177
40000	5419	1997	30507.6	10.70258791252016
41002	5419	1997	5317.63	13.345309282518713
49011	5419	1997	1804.3	7.343618633264978
50000	5419	1997	95706.98	9.238789830167036
51002	5419	1997	7782.23	12.980833115957768
55105	5419	1997	1788.79	8.215794531498947
55108	5419	1997	8356.7	11.136276137709862
55305	5419	1997	35421.799999999996	7.983095096804793
55307	5419	1997	1198.92	11.353716428118641
55338	5419	1997	6078.5	10.321609656987745
55347	5419	1997	10522.9	8.749737268243546
56000	5419	1997	4454.59	9.148190428299797
56017	5419	1997	1569.95	8.84775941908978
58000	5419	1997	2519.8100000000004	10.138263877038346
58017	5419	1997	43.269999999999996	6.2143817887682005
58028	5419	1997	634.89	10.407258580226495
59999	5419	1997	1778.2600000000002	10.696428137617671
60000	5419	1997	19741.54	7.85984525016792
67005	5419	1997	3754.6	7.024622543013903
67099	5419	1997	296.85999999999996	8.357962676008892
69999	5419	1997	875.59	8.400366267316896
70000	5419	1997	70483.11999999998	7.470810574219758
72002	5419	1997	119.88	12.1
79015	5419	1997	99.9	8.2
79016	5419	1997	109.89	9.43
79017	5419	1997	28062.059999999998	6.766488739600729
79041	5419	1997	356.54999999999995	8.002354228018511
79806	5419	1997	41088.87	7.919999999999999
79858	5419	1997	219.78	7.71
79999	5419	1997	422.53999999999996	8.963410091352298
80000	5419	1997	27987.550000000003	10.437226059444288
85000	5419	1997	2641.75	12.569381508469764
85132	5419	1997	1351.57	10.343860695339496
97100	5419	1997	1494.99	9.300248229085145
97105	5419	1997	1276.96	9.098646942739006
98000	5419	1997	4542.63	8.454771002701078
