%SeriesCode,SeriesLabel,MetricName,CalculationType,DefaultScale,TableId:LineNo,SeriesCodeParents
e1gndef1si00,"Public safety","Year","Level",0,FAAt707:45,NONE
e1gndef1sk00,"Amusement and recreation","Year","Level",0,FAAt707:46,NONE
e1gndef1sn00,"Transportation","Year","Level",0,FAAt707:47,NONE
e1gndef1sp00,"Power","Year","Level",0,FAAt707:48,NONE
e1gndef1sq00,"Highways and streets","Year","Level",0,FAAt707:49,NONE
e1gndef1st00,"Structures","Year","Level",0,FAAt707:40,NONE
e1gndef1stnr,"Nondefense","Year","Level",0,FAAt707:88,NONE
e1gndef1sv00,"Conservation and development","Year","Level",0,FAAt707:50,NONE
e1gndef1sx00,"Other structures","Year","Level",0,FAAt707:51,NONE
e1gstlc1ens0,"Software","Year","Level",0,FAAt707:73,NONE
e1gstlc1eq00,"Equipment","Year","Level",0,FAAt707:56,NONE
e1gstlc1es00,"State and local","Year","Level",0,FAAt109:24|FAAt707:55,NONE
e1gstlc1ip00,"Intellectual property products","Year","Level",0,FAAt707:72,NONE
e1gstlc1rd00,"Research and development","Year","Level",0,FAAt707:74,NONE
e1gstlc1sa00,"State and local","Year","Level",0,FAAt509:10|FAAt707:58,NONE
e1gstlc1sd00,"Office","Year","Level",0,FAAt707:59,NONE
e1gstlc1se00,"Commercial","Year","Level",0,FAAt707:60,NONE
e1gstlc1sf00,"Health care","Year","Level",0,FAAt707:61,NONE
e1gstlc1sg00,"Educational","Year","Level",0,FAAt707:62,NONE
e1gstlc1si00,"Public safety","Year","Level",0,FAAt707:63,NONE
e1gstlc1sk00,"Amusement and recreation","Year","Level",0,FAAt707:64,NONE
e1gstlc1sn00,"Transportation","Year","Level",0,FAAt707:65,NONE
e1gstlc1sp00,"Power","Year","Level",0,FAAt707:66,NONE
e1gstlc1sq00,"Highways and streets","Year","Level",0,FAAt707:67,NONE
e1gstlc1sr00,"Sewer systems","Year","Level",0,FAAt707:68,NONE
e1gstlc1st00,"Structures","Year","Level",0,FAAt707:57,NONE
e1gstlc1stnr,"State and local","Year","Level",0,FAAt707:89,NONE
e1gstlc1su00,"Water systems","Year","Level",0,FAAt707:69,NONE
e1gstlc1sv00,"Conservation and development","Year","Level",0,FAAt707:70,NONE
e1gstlc1sx00,"Other structures","Year","Level",0,FAAt707:71,NONE
e1gtotl1ens0,"Software","Year","Level",0,FAAt707:19,NONE
e1gtotl1eq00,"Equipment","Year","Level",0,FAAt109:11|FAAt707:2|FAAt707:84,NONE
e1gtotl1es00,"Government fixed assets","Year","Level",0,FAAt109:22|FAAt109:9|FAAt707:1,NONE
e1gtotl1esnr,"Nonresidential","Year","Level",0,FAAt109:10|FAAt707:83,NONE
e1gtotl1ip00,"Intellectual property products","Year","Level",0,FAAt109:13|FAAt707:18|FAAt707:90,NONE
e1gtotl1rd00,"Research and development","Year","Level",0,FAAt707:20,NONE
e1gtotl1sa00,"Residential","Year","Level",0,FAAt109:14|FAAt509:8|FAAt707:4,NONE
e1gtotl1sd00,"Office","Year","Level",0,FAAt707:6,NONE
e1gtotl1se00,"Commercial","Year","Level",0,FAAt707:7,NONE
e1gtotl1sf00,"Health care","Year","Level",0,FAAt707:8,NONE
e1gtotl1sg00,"Educational","Year","Level",0,FAAt707:9,NONE
e1gtotl1si00,"Public safety","Year","Level",0,FAAt707:10,NONE
e1gtotl1sj00,"Industrial","Year","Level",0,FAAt707:5,NONE
e1gtotl1sk00,"Amusement and recreation","Year","Level",0,FAAt707:11,NONE
e1gtotl1sm00,"Military facilities","Year","Level",0,FAAt707:15,NONE
e1gtotl1sn00,"Transportation","Year","Level",0,FAAt707:12,NONE
e1gtotl1sp00,"Power","Year","Level",0,FAAt707:13,NONE
e1gtotl1sq00,"Highways and streets","Year","Level",0,FAAt707:14,NONE
e1gtotl1st00,"Structures","Year","Level",0,FAAt707:3,NONE
e1gtotl1stnr,"Structures","Year","Level",0,FAAt109:12|FAAt707:85,NONE
e1gtotl1sv00,"Conservation and development","Year","Level",0,FAAt707:16,NONE
e1gtotl1sx00,"Other structures","Year","Level",0,FAAt707:17,NONE
e1gtotleeq00,"Equipment","Year","Level",0,FAAt707:80,NONE
e1gtotlees00,"Government enterprise fixed assets","Year","Level",0,FAAt707:79,NONE
e1gtotleip00,"Intellectual property products","Year","Level",0,FAAt707:82,NONE
