%SeriesCode,SeriesLabel,MetricName,CalculationType,DefaultScale,TableId:LineNo,SeriesCodeParents
C311RL,"Hospitals and special care","Fisher Quantity Index","Percent change, annual rate",0,T50401:8,NONE
C311RW,"Hospitals and special care","Quantity Contributions","Level",0,T50402:8,NONE
C311RX,"Hospitals and special care","Chained Dollars","Level",-6,T50406:8|U50406:8,NONE
C312,"Beverage and tobacco product manufacturing","Current Dollars","Level",-6,U50705BU1:19,N625RC
C313,"Textile mills","Current Dollars","Level",-6,U50705BU1:20,N625RC
C314,"Textile product mills","Current Dollars","Level",-6,U50705BU1:21,N625RC
C314RC,"Communication","Current Dollars","Level",-6,T50405:23|U50405:23,W003RC
C314RL,"Communication","Fisher Quantity Index","Percent change, annual rate",0,T50401:23,NONE
C314RW,"Communication","Quantity Contributions","Level",0,T50402:23,NONE
C314RX,"Communication","Chained Dollars","Level",-6,T50406:23|U50406:23,NONE
C315,"Apparel manufacturing","Current Dollars","Level",-6,U50705BU1:22,N625RC
C316,"Leather and allied product manufacturing","Current Dollars","Level",-6,U50705BU1:23,N625RC
C316RC,"Farm","Current Dollars","Level",-6,T50405:35|U50405:35,W004RC
C316RL,"Farm","Fisher Quantity Index","Percent change, annual rate",0,T50401:35,NONE
C316RW,"Farm","Quantity Contributions","Level",0,T50402:35,NONE
C316RX,"Farm","Chained Dollars","Level",-6,T50406:35|U50406:35,NONE
C319RC,"Petroleum and natural gas","Current Dollars","Level",-6,T50405:25|U50405:25,E318RC
C319RL,"Petroleum and natural gas","Fisher Quantity Index","Percent change, annual rate",0,T50401:25,NONE
C319RW,"Petroleum and natural gas","Quantity Contributions","Level",0,T50402:25,NONE
C319RX,"Petroleum and natural gas","Chained Dollars","Level",-6,T50406:25|U50406:25,NONE
C320RC,"Mining","Current Dollars","Level",-6,T50405:26|U50405:26,E318RC
C320RL,"Mining","Fisher Quantity Index","Percent change, annual rate",0,T50401:26,NONE
C320RW,"Mining","Quantity Contributions","Level",0,T50402:26,NONE
C320RX,"Mining","Chained Dollars","Level",-6,T50406:26|U50406:26,NONE
C321,"Wood product manufacturing","Current Dollars","Level",-6,U50705BU1:5,N624RC
C321RC,"Brokers' commissions on sale of structures","Current Dollars","Level",-6,T50405:37|U50405:37,W004RC
C321RL,"Brokers' commissions on sale of structures","Fisher Quantity Index","Percent change, annual rate",0,T50401:37,NONE
C321RW,"Brokers' commissions on sale of structures","Quantity Contributions","Level",0,T50402:37,NONE
C321RX,"Brokers' commissions on sale of structures","Chained Dollars","Level",-6,T50406:37|U50406:37,NONE
C322,"Paper manufacturing","Current Dollars","Level",-6,U50705BU1:24,N625RC
C323,"Printing and related support activities","Current Dollars","Level",-6,U50705BU1:25,N625RC
C324,"Petroleum and coal product manufacturing","Current Dollars","Level",-6,U50705BU1:26,N625RC
C325,"Chemical manufacturing","Current Dollars","Level",-6,U50705BU1:27,N625RC
C326,"Plastics and rubber product manufacturing","Current Dollars","Level",-6,U50705BU1:28,N625RC
C327,"Nonmetallic mineral product manufacturing","Current Dollars","Level",-6,U50705BU1:6,N624RC
C331,"Primary metal manufacturing","Current Dollars","Level",-6,U50705BU1:7,N624RC
C332,"Fabricated metal product manufacturing","Current Dollars","Level",-6,U50705BU1:8,N624RC
